bill_number,bill_id,title
HB1001,453974,"Biennial budget."
HB1002,453947,"Indiana career council."
HB1003,453921,"Nonpublic school scholarships."
HB1004,453892,"Early education evaluation program."
HB1005,453866,Education.
HB1006,448252,"Various changes to the criminal code."
HB1007,448251,"Use tax nexus and collection."
HB1008,440250,"Redistricting commission."
HB1009,440254,"Unemployment compensation."
HB1010,440258,"Passenger restraint systems."
HB1011,440262,"Public mass transportation."
HB1012,440266,"Sale of a public school building."
HB1013,440271,"Individual out-of-state health insurance."
HB1014,440275,"Income tax credit for specialty drugs."
HB1015,440279,"School safety."
HB1016,440283,"Problem solving courts."
HB1017,440288,"Farm wineries."
HB1018,440292,"Financial institutions matters."
HB1019,440300,"Hoosier business investment tax credit."
HB1020,440304,"New markets job growth income tax credit."
HB1021,440308,"Prohibition against implementation of Agenda 21."
HB1022,440312,"Battery upon a law enforcement officer."
HB1023,440317,"Partial unemployment benefit."
HB1024,440321,"Private sector impacts of administrative rules."
HB1025,440326,"Joint legal custody."
HB1026,440331,"Assessment of real property."
HB1027,440335,"Civil immunity for services in emergency."
HB1028,440339,"State police death benefit."
HB1029,440343,"Adoption history information."
HB1030,440347,"Veteran's excise tax credit."
HB1031,440356,"Refusal of smart meter installation."
HB1032,440360,"Referenda for projects and school levies."
HB1033,440364,"Attorney general deputies in Washington D.C."
HB1034,440368,"Physical therapy services without a referral."
HB1035,440372,"Nonjurisdictional municipal utilities."
HB1036,440377,"Guaranteed energy savings contracts."
HB1037,440382,"Railroad crossings."
HB1038,440386,"Blood donation testing."
HB1039,440391,"State administration."
HB1040,440395,"Child in need of services petitions."
HB1041,440399,"Petitions to modify custody and visitation."
HB1042,440403,"Committee on child services oversight."
HB1043,440410,"Sales tax exemption for farm drainage property."
HB1044,440414,"Public safety training on Alzheimer's and dementia."
HB1045,440419,Airports.
HB1046,440423,"Military family relief fund."
HB1047,440427,"Employment or training priority for military."
HB1048,440431,"LIFE postsecondary education scholarships."
HB1049,440436,"Military reservist exemption from jury duty."
HB1050,440440,"Veteran's property tax deduction."
HB1051,440444,"Credentialing of music therapists."
HB1052,440448,"Electronic meetings."
HB1053,444776,"Sex offenses and sex offenders."
HB1054,444769,"Secretary of state filings and recordings."
HB1055,444761,"Emergency rulemaking statute."
HB1056,444754,"Probate and trust administration."
HB1057,444743,"Prosecuting attorneys retirement fund."
HB1058,444737,"Statute of limitations on land surveys."
HB1059,444728,"Habitual violators of traffic laws."
HB1060,444720,"Work sharing unemployment benefit."
HB1061,444712,Magistrates.
HB1062,444703,"Storm water fees."
HB1063,444694,"Ephedrine and pseudoephedrine sales."
HB1064,444684,"Chemical reagents and precursors."
HB1065,444676,"Certified technology park tax capture limit."
HB1066,444668,"Local government reorganization."
HB1067,444660,"Federal fund exchange program."
HB1068,444650,"Transportation relating to agriculture."
HB1069,444642,"Outdoor event equipment."
HB1070,444634,"Local food and beverage taxes."
HB1071,444625,"Municipal food and beverage tax."
HB1072,444617,"Pickup trucks in road funding formula."
HB1073,444606,"Credit scoring."
HB1074,444599,"Student instructional days."
HB1075,444590,"Wild hogs."
HB1076,444581,"State police and BMV funding."
HB1077,444574,"Fund transfers."
HB1078,444565,"Toylike lighters."
HB1079,444557,"Mortgages and vendor's liens on real property."
HB1080,444546,"Pension thirteenth checks."
HB1081,444538,"Financial institutions and consumer credit."
HB1082,444531,"Signature on vehicle registration."
HB1083,444521,"Charges for consumer loans and credit sales."
HB1084,444511,"Various property issues."
HB1085,444503,"Spinal manipulation."
HB1086,444496,"Duty to report child abuse or neglect."
HB1087,444486,"Transportation of household effects and furniture."
HB1088,444478,"University compensation to legislators."
HB1089,446035,"Investment of public funds."
HB1090,446036,"County coroners."
HB1091,446038,"Blue alert program."
HB1092,446040,"Inspector general."
HB1093,446042,"Killing a law enforcement animal."
HB1094,446046,"Soil and septic system education and research."
HB1095,446048,"Passenger restraint systems for children."
HB1096,446050,"Health facility nursing staff ratios."
HB1097,446052,"Right to work."
HB1098,446055,"Study concerning uninsured motorists."
HB1099,446060,"Physician assistants."
HB1100,446062,"Pharmacy coverage terms."
HB1101,446064,"Great-grandparent visitation rights."
HB1102,446068,"Open meetings."
HB1103,446071,"Scholarship granting organizations."
HB1104,446074,"Immunizations by pharmacists."
HB1105,446076,"Anatomic pathology services."
HB1106,446078,"Plumbing commission matters."
HB1107,446081,"Recreational vehicle excise tax."
HB1108,446084,"Sentencing alternatives for youthful offenders."
HB1109,446088,"Controlled projects."
HB1110,446090,"School capital projects fund."
HB1111,446092,"Tactical emergency medicine."
HB1112,446095,"Write-in candidates."
HB1113,446099,"Property tax deduction for mortise and tenon barn."
HB1114,446101,"Soil productivity factors."
HB1115,446104,"Alcoholic beverages."
HB1116,446107,"Property taxes."
HB1117,446109,"County excise surtax and wheel tax."
HB1118,446112,"Proceeding through an intersection at a red light."
HB1119,446116,"Fireworks sales and display permits."
HB1120,446118,"Speed limits."
HB1121,446121,"Boating requirements."
HB1122,446123,"Country of origin of caskets."
HB1123,446126,"Child fatality reviews and commission on children."
HB1124,446128,"Court late payment fees."
HB1125,446130,"Local road funding."
HB1126,446134,"Highway funding."
HB1127,446136,"Academic medical center and trauma care center."
HB1128,446140,"Removal of bars and taverns from smoking ban exemption."
HB1129,446144,"Allows prosecuting attorney to file child in need of services (CHINS) petition."
HB1130,446147,"Immediate detention."
HB1131,446150,"Candidate qualifications."
HB1132,448248,"Property matters."
HB1133,448245,"Use of food and beverage taxes."
HB1134,448241,"Combat to College Program."
HB1135,448235,Midwives.
HB1136,448232,"Limitation on school starting date."
HB1137,448229,"IURC review of extraterritorial water rates."
HB1138,448225,"Indiana nanotechnology initiative."
HB1139,448219,"Architect license renewal."
HB1140,448216,"Military income tax deduction."
HB1141,469598,"Transportation funding."
HB1142,448212,"Department of child services."
HB1143,448210,"Publication of town ordinances."
HB1144,448205,"Political affiliation of local board appointees."
HB1145,448201,"Various local government matters."
HB1146,448195,"Sunday sales of alcoholic beverages for carryout."
HB1147,469584,"Motor vehicle license tax credit for veterans."
HB1148,448191,"Public employees' defined contribution plan."
HB1149,448189,"Fire territory debt."
HB1150,448183,"Sports scholarships and player safety."
HB1151,448180,"Blue alert program."
HB1152,469568,"Practice of occupational therapy."
HB1153,448178,"Controlled substances data fund."
HB1154,448175,"Hamilton superior court magistrate."
HB1155,448696,"Mortgage recording fee."
HB1156,448689,"Polling places."
HB1157,448683,"Various election law matters."
HB1158,448679,"Fugitive dust from agricultural operations."
HB1159,448671,"School liability."
HB1160,448666,"School employee background checks."
HB1161,448659,"Confined feeding operation application approval."
HB1162,448653,Prescriptions.
HB1163,469558,"Cooperative housing property used as homestead."
HB1164,448641,"Definition of homestead."
HB1165,448636,"Installment contracts and property tax deductions."
HB1166,448629,"Performance-qualified school districts."
HB1167,464702,"Fire department consolidation in Marion County."
HB1168,448624,"Venture capital income tax credit."
HB1169,448618,"Drainage issues."
HB1170,448612,"Training 2000 program."
HB1171,448605,"Research and development property."
HB1172,469544,"Interlocal cooperation agreements."
HB1173,448599,"Tax exemption for certain nonprofit organizations."
HB1174,448593,"Municipal utility funds and economic development."
HB1175,448581,"Public records."
HB1176,448574,"Prohibited horse racing and gaming wagers."
HB1177,448569,"Secondhand shops."
HB1178,448562,"Sudden cardiac arrest."
HB1179,448558,"Securities matters."
HB1180,448551,"Homestead standard deduction."
HB1181,448544,"Owen circuit court."
HB1182,448536,"Physician order for scope of treatment forms."
HB1183,448533,"Abandoned structure liens."
