roll_call_id,sponsor_id,vote
384229,3386,1
384229,3405,1
384229,3420,1
384229,3429,1
384229,3461,1
384229,3462,1
384229,3464,1
384229,3465,1
384229,3467,4
384229,3469,1
384229,3470,1
384229,3472,1
384229,3479,1
384229,3480,1
384229,3481,1
384229,3482,1
384229,3490,1
384229,3491,1
384229,3493,1
384229,12492,1
384229,12495,4
384229,12496,1
384229,12497,1
384229,12498,1
384229,12499,1
384229,12515,4
384229,12521,4
384229,12541,1
384229,15984,1
384229,16871,1
384229,16872,1
384229,16873,1
384229,16874,1
384229,16875,1
384229,16876,1
384084,3386,1
384084,3405,4
384084,3420,4
384084,3429,1
384084,3461,1
384084,3462,1
384084,3464,1
384084,3465,1
384084,3467,1
384084,3469,1
384084,3470,1
384084,3472,1
384084,3479,1
384084,3480,1
384084,3481,1
384084,3482,1
384084,3490,1
384084,3491,1
384084,3493,1
384084,12492,1
384084,12495,4
384084,12496,1
384084,12497,1
384084,12498,1
384084,12499,1
384084,12515,1
384084,12521,4
384084,12541,1
384084,15984,1
384084,16871,1
384084,16872,1
384084,16873,1
384084,16874,1
384084,16875,1
384084,16876,1
384081,3386,1
384081,3405,1
384081,3420,1
384081,3429,1
384081,3461,1
384081,3462,4
384081,3464,4
384081,3465,1
384081,3467,1
384081,3469,1
384081,3470,1
384081,3472,1
384081,3479,1
384081,3480,1
384081,3481,1
384081,3482,1
384081,3490,1
384081,3491,1
384081,3493,1
384081,12492,1
384081,12495,1
384081,12496,1
384081,12497,1
384081,12498,1
384081,12499,1
384081,12515,4
384081,12521,1
384081,12541,1
384081,15984,1
384081,16871,1
384081,16872,1
384081,16873,1
384081,16874,1
384081,16875,1
384081,16876,1
384082,3386,1
384082,3405,1
384082,3420,1
384082,3429,1
384082,3461,1
384082,3462,4
384082,3464,4
384082,3465,1
384082,3467,1
384082,3469,1
384082,3470,4
384082,3472,1
384082,3479,1
384082,3480,1
384082,3481,1
384082,3482,1
384082,3490,1
384082,3491,1
384082,3493,1
384082,12492,1
384082,12495,1
384082,12496,1
384082,12497,1
384082,12498,1
384082,12499,1
384082,12515,4
384082,12521,1
384082,12541,1
384082,15984,1
384082,16871,1
384082,16872,1
384082,16873,1
384082,16874,1
384082,16875,1
384082,16876,1
384083,3386,1
384083,3405,1
384083,3420,1
384083,3429,1
384083,3461,1
384083,3462,1
384083,3464,1
384083,3465,1
384083,3467,1
384083,3469,1
384083,3470,2
384083,3472,1
384083,3479,2
384083,3480,2
384083,3481,1
384083,3482,1
384083,3490,2
384083,3491,1
384083,3493,1
384083,12492,1
384083,12495,1
384083,12496,1
384083,12497,1
384083,12498,1
384083,12499,1
384083,12515,1
384083,12521,4
384083,12541,1
384083,15984,1
384083,16871,1
384083,16872,1
384083,16873,1
384083,16874,1
384083,16875,1
384083,16876,1
