sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role
11616,"Donald Wagner",Donald,P.,Wagner,,Don,2,R,1,Rep
11920,"Roger Hernandez",Roger,,Hernandez,,,1,D,1,Rep
11921,"Anthony Cannella",Anthony,,Cannella,,,2,R,2,Sen
13078,"Beth Gaines",Beth,B.,Gaines,,,2,R,1,Rep
14091,"Franklin Bigelow",Franklin,E.,Bigelow,,Frank,2,R,1,Rep
14092,"Richard Bloom",Richard,,Bloom,,,1,D,1,Rep
14093,"Raul Bocanegra",Raul,,Bocanegra,,,1,D,1,Rep
14094,"Rob Bonta",Rob,,Bonta,,Bob,1,D,1,Rep
14095,"Cheryl Brown",Cheryl,R.,Brown,,,1,D,1,Rep
14096,"Edwin Chau",Edwin,,Chau,,Ed,1,D,1,Rep
14097,"Rocky Chavez",Rocky,J.,Chavez,,,2,R,1,Rep
14098,"Ken Cooley",Ken,,Cooley,,,1,D,1,Rep
14099,"Brian Dahle",Brian,,Dahle,,,2,R,1,Rep
14100,"Tom Daly",Tom,,Daly,,,1,D,1,Rep
14101,"Susan Eggman",Susan,Talamantes,Eggman,,,1,D,1,Rep
14102,"Steve Fox",Steve,,Fox,,,1,D,1,Rep
14103,"Jim Frazier",Jim,,Frazier,,,1,D,1,Rep
14104,"Cristina Garcia",Cristina,,Garcia,,,1,D,1,Rep
14105,"Jimmy Gomez",Jimmy,,Gomez,,,1,D,1,Rep
14106,"Adam Gray",Adam,,Gray,,,1,D,1,Rep
14107,"Chris Holden",Chris,R.,Holden,,,1,D,1,Rep
14108,"Ian Calderon",Ian,Charles,Calderon,,,1,D,1,Rep
14109,"Reginald Jones-Sawyer",Reginald,B.,Jones-Sawyer,Sr.,Reggie,1,D,1,Rep
14110,"Marc Levine",Marc,B.,Levine,,,1,D,1,Rep
14111,"Eric Linder",Eric,,Linder,,,2,R,1,Rep
14112,"Brian Maienschein",Brian,,Maienschein,,,2,R,1,Rep
14113,"Jose Medina",Jose,,Medina,,,1,D,1,Rep
14114,"Melissa Melendez",Melissa,A.,Melendez,,,2,R,1,Rep
14115,"Kevin Mullin",Kevin,,Mullin,,,1,D,1,Rep
14116,"Al Muratsuchi",Al,,Muratsuchi,,,1,D,1,Rep
14117,"Jim Patterson",Jim,,Patterson,,,2,R,1,Rep
14118,"Sharon Quirk-Silva",Sharon,,Quirk-Silva,,,1,D,1,Rep
14119,"Bill Quirk",Bill,,Quirk,,,1,D,1,Rep
14120,"Anthony Rendon",Anthony,,Rendon,,,1,D,1,Rep
14121,"Mark Stone",Mark,,Stone,,,1,D,1,Rep
14122,"Philip Ting",Philip,Y.,Ting,,Phil,1,D,1,Rep
14123,"Marie Waldron",Marie,,Waldron,,,2,R,1,Rep
14124,"Shirley Weber",Shirley,N.,Weber,,,1,D,1,Rep
14125,"Scott Wilk",Scott,Thomas,Wilk,,,2,R,1,Rep
14130,"Hannah-Beth Jackson",Hannah-Beth,,Jackson,,,1,D,2,Sen
14134,"Richard Roth",Richard,,Roth,,,1,D,2,Sen
14219,"Adrin Nazarian",Adrin,,Nazarian,,,1,D,1,Rep
16033,"Lorena Gonzalez",Lorena,,Gonzalez,,,1,D,1,Rep
16048,"Andy Vidak",Andy,,Vidak,,,2,R,2,Sen
16087,"Freddie Rodriguez",Freddie,,Rodriguez,,,1,D,1,Rep
16094,"Matt Dababneh",Matt,,Dababneh,,,1,D,1,Rep
16221,"Brian Jones",Brian,W.,Jones,,,2,R,1,Rep
17428,"Rudy Salas",Rudy,,Salas,,,1,D,1,Rep
17429,"Sebastian Ridley-Thomas",Sebastian,,Ridley-Thomas,,,1,D,1,Rep
