sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year,score_variable_k,score_fixed_k,count,difference
5497,Brian Bosma,Brian,C.,Bosma,,,1,R,1,Rep,HD-088,2016,1538.23051774644,1503.70529042684,2627,34.5252273196058
10574,Robert Heaton,Robert,,Heaton,,Bob,1,R,1,Rep,HD-046,2016,1520.80466508123,1477.37793243678,10543,43.4267326444485
16703,Melanie Wright,Melanie,M.,Wright,,,0,D,1,Rep,HD-035,2016,1520.77384845633,1469.0878926979,8561,51.6859557584223
5509,Gerald Torr,Gerald,R.,Torr,,Jerry,1,R,1,Rep,HD-039,2016,1518.43317932581,1474.25701897027,10276,44.176160355541
5567,Robert Behning,Robert,W.,Behning,,Bob,1,R,1,Rep,HD-091,2016,1518.43224701549,1473.80104465425,9989,44.6312023612456
14762,Martin Carbaugh,Martin,,Carbaugh,,,1,R,1,Rep,HD-081,2016,1518.20098803688,1473.58653903665,10482,44.6144490002255
11394,Timothy Wesco,Timothy,,Wesco,,,1,R,1,Rep,HD-021,2016,1518.01946552897,1473.2151285004,10368,44.8043370285759
5483,Eric Koch,Eric,Allan,Koch,,,1,R,1,Rep,HD-065,2016,1517.97249520872,1472.65275585356,10543,45.3197393551625
5573,Sean Eberhart,Sean,R.,Eberhart,,,1,R,1,Rep,HD-057,2016,1517.66349152187,1472.66510334456,10088,44.9983881773148
16807,Anthony Cook,Anthony,,Cook,,,1,R,1,Rep,,2016,1517.41568909151,1472.54857377189,8561,44.867115319621
14767,Cindy Ziemke,Cindy,Meyer,Ziemke,,,1,R,1,Rep,HD-055,2016,1516.87599609006,1471.67277350252,10482,45.2032225875371
14444,David Ober,David,L.,Ober,,,1,R,1,Rep,HD-082,2016,1516.7412335341,1471.38728787399,10482,45.3539456601154
10571,Steven Davisson,Steven,,Davisson,,,1,R,1,Rep,HD-073,2016,1516.70163947763,1471.48375517823,8614,45.2178842994053
14761,Steven Braun,Steven,J.,Braun,,,1,R,1,Rep,HD-024,2016,1516.2724274559,1471.33938429891,10388,44.9330431569817
17750,Randy Lyness,Randy,,Lyness,,,1,R,1,Rep,HD-068,2016,1516.22512149126,1471.80567414791,2817,44.4194473433511
5514,Edward Clere,Edward,D.,Clere,,Ed,1,R,1,Rep,HD-072,2016,1516.21426276949,1468.94634134835,10543,47.2679214211357
5510,Daniel Leonard,Daniel,J.,Leonard,,Dan,1,R,1,Rep,HD-050,2016,1515.99767024394,1469.68930746805,10543,46.3083627758911
5536,Charles Burton,Charles,,Burton,,Woody,1,R,1,Rep,HD-058,2016,1515.9197264883,1468.63167771423,10266,47.2880487740722
14440,Karlee Macer,Karlee,D.,Macer,,,0,D,1,Rep,HD-092,2016,1515.3742466847,1469.1613520433,9564,46.2128946414041
5544,Kathy Richardson,Kathy,Kreag,Richardson,,,1,R,1,Rep,HD-029,2016,1515.37356637827,1469.94718234823,10276,45.4263840300314
16801,Donna Schaibley,Donna,,Schaibley,,,1,R,1,Rep,,2016,1515.20917011378,1470.09720859021,8561,45.1119615235723
14768,Dennis Zent,Dennis,J.,Zent,,Denny,1,R,1,Rep,HD-051,2016,1515.18327521453,1466.24950540024,10218,48.9337698142972
16537,Curt Nisly,Curt,,Nisly,,,1,R,1,Rep,HD-022,2016,1515.10524819746,1465.81287509789,8561,49.2923730995749
5515,Randy Truitt,Randy,,Truitt,,,1,R,1,Rep,HD-026,2016,1514.86332514874,1466.67684400487,10463,48.1864811438722
14189,Dale DeVon,Dale,R.,DeVon,,,1,R,1,Rep,HD-005,2016,1514.79614406889,1466.41891235177,10482,48.3772317171201
5513,Wes Culver,Wes,,Culver,,,1,R,1,Rep,HD-049,2016,1514.76581172046,1469.94532504774,10307,44.8204866727144
14438,Timothy Harman,Timothy,P.,Harman,,,1,R,1,Rep,HD-017,2016,1514.70310306996,1465.84411686624,10301,48.8589862037188
5571,Donald Lehe,Donald,J.,Lehe,,Don,1,R,1,Rep,HD-025,2016,1514.25255672132,1466.98998129827,10451,47.2625754230567
5493,Edmond Soliday,Edmond,,Soliday,,Ed,1,R,1,Rep,HD-004,2016,1514.09936673718,1467.93210540168,10450,46.1672613354992
14192,Sharon Negele,Sharon,,Negele,,,1,R,1,Rep,HD-013,2016,1513.95088184076,1467.35378210598,10482,46.597099734782
5565,David Frizzell,David,N.,Frizzell,,,1,R,1,Rep,HD-093,2016,1513.78899486196,1461.9802628441,9353,51.8087320178602
10568,Ronald Bacon,Ronald,,Bacon,,,1,R,1,Rep,HD-075,2016,1513.71151883616,1467.44339238923,10543,46.268126446927
16702,Julie Olthoff,Julie,,Olthoff,,,1,R,1,Rep,HD-019,2016,1513.62989643279,1466.27483237704,8561,47.3550640557567
5502,Gregory Steuerwald,Gregory,E.,Steuerwald,,,1,R,1,Rep,HD-040,2016,1512.93841247412,1466.51917183935,8950,46.4192406347681
16530,Micheal Aylesworth,Micheal,,Aylesworth,,Mike,1,R,1,Rep,HD-011,2016,1512.70174799304,1462.03652173585,8194,50.6652262571879
10578,Michael Karickhoff,Michael,,Karickhoff,,,1,R,1,Rep,HD-030,2016,1512.27144585365,1466.0606933432,10543,46.2107525104491
10577,Heath VanNatter,Heath,,VanNatter,,,1,R,1,Rep,HD-038,2016,1512.26223646667,1466.28063040668,10297,45.9816060599899
5532,Charles Moseley,Charles,A.,Moseley,,Chuck,0,D,1,Rep,HD-010,2016,1512.01775264111,1475.18457831445,10543,36.8331743266644
14764,Jim Lucas,Jim,,Lucas,,,1,R,1,Rep,HD-069,2016,1510.87276519847,1459.49570116121,10482,51.3770640372647
14443,Alan Morrison,Alan,,Morrison,,,1,R,1,Rep,HD-042,2016,1510.77872029948,1458.3052239044,10302,52.4734963950791
5576,Bruce Borders,Bruce,Alan,Borders,,,1,R,1,Rep,HD-045,2016,1510.57615540663,1457.40399082684,8527,53.1721645797945
5518,Vanessa Summers,Vanessa,J.,Summers,,,0,D,1,Rep,HD-099,2016,1509.94165727942,1473.10378820613,8875,36.8378690732818
5560,Jeffrey Thompson,Jeffrey,A.,Thompson,,,1,R,1,Rep,HD-028,2016,1509.85703028668,1458.86521713243,10454,50.9918131542488
14436,Christina Hale,Christina,,Hale,,,0,D,1,Rep,HD-087,2016,1509.79520678805,1465.99407984041,10121,43.801126947641
16538,Christopher Judy,Christopher,N.,Judy,,Chris,1,R,1,Rep,HD-083,2016,1509.60483565399,1470.26398812132,8561,39.3408475326639
5539,William Friend,William,C.,Friend,,,1,R,1,Rep,HD-023,2016,1509.23812568217,1455.30291343605,9513,53.9352122461223
14442,Justin Moed,Justin,,Moed,,,0,D,1,Rep,HD-097,2016,1509.07577071337,1454.0809227765,10040,54.9948479368757
10575,Kevin Mahan,Kevin,A.,Mahan,,,1,R,1,Rep,HD-031,2016,1508.62694097102,1467.91993573932,10168,40.7070052317042
5569,Philip GiaQuinta,Philip,,GiaQuinta,,,0,D,1,Rep,HD-080,2016,1507.54920912274,1455.2318848334,10449,52.3173242893367
14445,John Price,John,,Price,,,1,R,1,Rep,HD-047,2016,1507.14663004777,1460.20850358535,10109,46.9381264624142
5508,Sheila Klinker,Sheila,J.,Klinker,,,0,D,1,Rep,HD-027,2016,1506.47185310037,1462.98801701539,10452,43.4838360849744
10584,Milo Smith,Milo,,Smith,Jr.,,1,R,1,Rep,HD-059,2016,1505.94903166583,1462.57012233917,9988,43.3789093266603
5524,Timothy Brown,Timothy,N.,Brown,,Tim,1,R,1,Rep,HD-041,2016,1505.44574647634,1463.22515502388,8925,42.2205914524652
5499,Terri Jo Austin,Terri Jo,,Austin,,,0,D,1,Rep,HD-036,2016,1505.25113725186,1463.99290612113,10360,41.2582311307251
5489,David Niezgodski,David,L.,Niezgodski,,,0,D,1,Rep,HD-007,2016,1504.3061673905,1457.16541213892,10543,47.1407552515793
14439,Todd Huston,Todd,,Huston,,,1,R,1,Rep,HD-037,2016,1502.6992617622,1452.49494039245,9552,50.2043213697461
5570,Doug Gutwein,Doug,L.,Gutwein,,,1,R,1,Rep,HD-016,2016,1502.36456632272,1466.54828133317,9799,35.8162849895532
12223,Charlie Brown,Charlie,,Brown,,,0,D,1,Rep,HD-003,2016,1447.89779374208,1410.62726402925,9683,37.2705297128271
5506,Linda Lawson,Linda,C.,Lawson,,,0,D,1,Rep,HD-001,2016,1434.39684368905,1418.88520423398,9907,15.5116394550662
5498,Clyde Kersey,Clyde,,Kersey,,,0,D,1,Rep,HD-043,2016,1427.30846974908,1413.03594636826,10355,14.2725233808251
5549,Matt Pierce,Matt,,Pierce,,,0,D,1,Rep,HD-061,2016,1425.56468570656,1414.8845617127,10453,10.6801239938632
5500,Gail Riecken,Gail,,Riecken,,,0,D,1,Rep,HD-077,2016,1425.38540049416,1410.43497688976,10267,14.9504236044052
5482,Scott Pelath,Scott,Douglas,Pelath,,,0,D,1,Rep,HD-009,2016,1425.23642248329,1410.42533938748,10368,14.8110830958065
5624,Sue Errington,Sue,E.,Errington,,,0,D,1,Rep,HD-034,2016,1424.39321347712,1400.54101141579,10482,23.8522020613316
5557,Matthew Lehman,Matthew,S.,Lehman,,,1,R,1,Rep,HD-079,2016,1419.1719276561,1398.25822910894,10172,20.9136985471621
5492,Vernon Smith,Vernon,G.,Smith,,,0,D,1,Rep,HD-014,2016,1417.36913338728,1407.81343935104,10266,9.55569403623667
14446,Robin Shackleford,Robin,,Shackleford,,,0,D,1,Rep,HD-098,2016,1371.68569182982,1379.20578380452,10389,-7.52009197470466
10573,Rhonda Rhoads,Rhonda,J.,Rhoads,,,1,R,1,Rep,HD-070,2016,1369.73454560553,1220.88790180016,9987,148.846643805375
10572,Judson McMillin,Judson,G.,McMillin,,Jud,1,R,1,Rep,HD-068,2016,1360.76941616976,1268.08781346846,7642,92.681602701294
5529,Earl Harris,Earl,L.,Harris,,,0,D,1,Rep,HD-002,2016,1336.30748472493,1204.08201491687,3441,132.225469808054
5556,John Bartlett,John,L.,Bartlett,,,0,D,1,Rep,HD-095,2016,1305.22635271954,1175.45774652587,10265,129.768606193677
5537,Thomas Saunders,Thomas,E.,Saunders,,Tom,1,R,1,Rep,HD-054,2016,1288.97543449259,1180.54564659137,10177,108.429787901216
10570,Randall Frye,Randall,,Frye,,Randy,1,R,1,Rep,HD-067,2016,1274.06783887205,1151.29586322258,10543,122.771975649473
5528,Terry Goodin,Terry,Allen,Goodin,,,0,D,1,Rep,HD-066,2016,1257.1704391846,1151.23862587082,9254,105.931813313774
5568,Steven Stemler,Steven,Ray,Stemler,,,0,D,1,Rep,HD-071,2016,1242.32672930913,1128.98645099848,7795,113.340278310655
5494,Patrick Bauer,B. Patrick,,Bauer,,,0,D,1,Rep,HD-006,2016,1236.65114472874,1152.07062014945,9537,84.5805245792826
11396,Mike Speedy,Mike,,Speedy,,,1,R,1,Rep,HD-090,2016,1068.23043765676,978.325543130944,10078,89.9048945258147
