Row,id11260,id11261,id11264,id11265,id2740,id2741,id2744,id2747,id2748,id2750,id2756,id2757,id2758,id2759,id2761,id2762,id2765,id2767,id2769
id11260,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id11261,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id11264,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id11265,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2740,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2741,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2744,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
id2747,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2748,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2750,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2756,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2757,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2758,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2759,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2761,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2762,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2765,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
id2767,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
id2769,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
