Row,id11260,id11264,id2740,id2741,id2744,id2747,id2756,id2757,id2758,id2759,id2762,id2765,id2769
id11260,1,1,1,1,0,1,1,1,1,1,1,0,1
id11264,1,1,1,1,0,1,1,1,1,1,1,0,1
id2740,1,1,1,1,0,1,1,1,1,1,1,0,1
id2741,1,1,1,1,0,1,1,1,1,1,1,0,1
id2744,0,0,0,0,1,0,0,0,0,0,0,1,0
id2747,1,1,1,1,0,1,1,1,1,1,1,0,1
id2756,1,1,1,1,0,1,1,1,1,1,1,0,1
id2757,1,1,1,1,0,1,1,1,1,1,1,0,1
id2758,1,1,1,1,0,1,1,1,1,1,1,0,1
id2759,1,1,1,1,0,1,1,1,1,1,1,0,1
id2762,1,1,1,1,0,1,1,1,1,1,1,0,1
id2765,0,0,0,0,1,0,0,0,0,0,0,1,0
id2769,1,1,1,1,0,1,1,1,1,1,1,0,1
