Row,id11260,id11264,id2603,id2739,id2740,id2741,id2754,id2756,id2757,id2758,id2759,id2762,id2765,id2768,id2769
id11243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id11260,1,1,0.75,1,1,1,0.75,1,1,0.5,1,0.75,0.666666666666667,0.75,1
id11264,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1
id17113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2603,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1
id2711,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
id2739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2740,0.5,0.5,1,0.5,1,0.5,1,0.5,1,1,0.5,1,1,1,1
id2741,1,1,1,1,0.5,NaN,1,1,1,1,1,1,0.5,1,1
id2744,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1
id2747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2754,0.333333333333333,0.666666666666667,1,0.666666666666667,1,0.5,1,0.333333333333333,1,0.666666666666667,0.666666666666667,1,1,1,1
id2756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2757,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1
id2758,0.5,0.5,1,0.5,1,0,1,0.5,1,1,0.5,1,1,1,1
id2759,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2762,0.5,0.5,1,0,1,0.5,1,0.5,1,1,0,1,1,1,1
id2765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2768,0.333333333333333,0.666666666666667,1,0.666666666666667,1,0.5,1,0.333333333333333,1,0.666666666666667,0.666666666666667,1,1,1,1
id2769,0.8,0.8,0.8,0.8,0.8,0.666666666666667,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,1
