bill_id,date,action
815089,2016-06-30,"Received in the Assembly, Referred to Assembly Commerce and Economic Development Committee"
815089,2016-09-08,"Reported and Referred to Assembly Appropriations Committee"
815089,2016-10-27,"Reported out of Assembly Committee, 2nd Reading"
815090,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815091,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815092,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815093,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815094,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815094,2016-06-20,"Reported from Senate Committee, 2nd Reading"
815094,2016-06-20,"Referred to Senate Budget and Appropriations Committee"
815095,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815096,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815096,2016-09-29,"Reported from Senate Committee with Amendments, 2nd Reading"
815096,2016-10-20,"Passed by the Senate (38-0)"
815096,2016-10-20,"Received in the Assembly, Referred to Assembly State and Local Government Committee"
815097,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815098,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815099,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815100,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815101,2016-01-12,"Introduced in the Senate, Referred to Senate Budget and Appropriations Committee"
815101,2016-02-29,"Withdrawn from Consideration"
815102,2016-01-12,"Introduced in the Senate, Referred to Senate Higher Education Committee"
815103,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815104,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815105,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815105,2016-06-20,"Reported from Senate Committee with Amendments, 2nd Reading"
815105,2016-06-27,"Passed by the Senate (36-0)"
815105,2016-06-27,"Received in the Assembly, Referred to Assembly Law and Public Safety Committee"
815106,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815107,2016-01-12,"Introduced in the Senate, Referred to Senate Labor Committee"
815108,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815109,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815110,2016-01-12,"Introduced in the Senate, Referred to Senate Labor Committee"
815110,2016-02-04,"Reported from Senate Committee with Amendments, 2nd Reading"
815110,2016-02-08,"Referred to Senate Budget and Appropriations Committee"
815111,2016-01-12,"Introduced in the Senate, Referred to Senate Labor Committee"
815112,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815113,2016-01-12,"Introduced in the Senate, Referred to Senate Labor Committee"
815114,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815115,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815115,2016-02-08,"Reported from Senate Committee, 2nd Reading"
815115,2016-02-08,"Referred to Senate Budget and Appropriations Committee"
815116,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815117,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815118,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815119,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815120,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815121,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815122,2016-01-12,"Introduced in the Senate, Referred to Senate Budget and Appropriations Committee"
815123,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815124,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815124,2016-05-02,"Reported from Senate Committee with Amendments, 2nd Reading"
815124,2016-08-01,"Substituted by A227 (3R)"
815125,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815125,2016-09-08,"Reported from Senate Committee, 2nd Reading"
815126,2016-01-12,"Introduced in the Senate, Referred to Senate Budget and Appropriations Committee"
815127,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
