bill_number,bill_id,title
LB1,670200,"Revisor bill to repeal an obsolete section relating to a transfer of property taking place in 1994"
LB2,670212,"Revisor bill to repeal an obsolete section relating to design and location of certain facilities done in the 1970's"
LB3,670283,"Revisor bill to repeal obsolete tax credit sections that terminated January 1, 2010"
LB4,670189,"Revisor bill to repeal obsolete Nebraska Opportunity Zone Act sections that terminated December 31, 2010"
LB5,670273,"Revisor bill to repeal obsolete Nebraska Innovation and High Wage Employment Act sections that terminated January 1, 2011"
LB6,670285,"Revisor bill to repeal an obsolete prenatal service section that terminated June 30, 2011"
LB7,670201,"Revisor bill to repeal Lead-Based Paint Hazard Control Program sections that terminated June 30, 2011"
LB8,670223,"Revisor bill to repeal the Children's Behavioral Health Oversight Committee of the Legislature that terminated December 31, 2012"
LB9,670249,"Revisor bill to repeal the Republican River Basin Water Sustainability Task Force that terminated June 30, 2012"
LB10,670186,"Change provisions relating to presidential electors and political party conventions"
LB11,670258,"Change participation and reimbursement provisions under the Managed Care Plan Network Adequacy Act"
LB12,670236,"Suspend medical assistance provided to persons who become inmates of public institutions"
LB12A,734148,"Appropriation Bill"
LB13,670235,"Change Community-based Juvenile Services Aid Program provisions"
LB14,670294,"Create the offense of use of a facsimile firearm or nonfunctioning firearm to commit a felony"
LB15,670292,"Require the Supreme Court to provide standards and provide and change duties for and compensation of guardians ad litem"
LB16,670266,"Adopt the Purchasing from Persons with Disabilities Act"
LB17,670276,"Change provisions relating to transfers to the Compulsive Gamblers Assistance Fund"
LB18,670213,"Change provisions relating to immunizations for students"
LB18A,707891,"Appropriation Bill"
LB19,670265,"Change provisions relating to laboratory certification under the Nebraska Safe Drinking Water Act"
LB20,670259,"Change the income tax exemptions for social security benefits and military retirement benefits"
LB21,670228,"Provide requirements for rate increases for providers of behavioral health services as prescribed"
LB22,670254,"Provide immunity from liability for engineers and architects for emergency services"
LB23,670229,"Change the Engineers and Architects Regulation Act"
LB24,670262,"Change provisions relating to the Nebraska Capitol Commission"
LB25,670215,"Change court jurisdiction relating to 17 year olds and young adults"
LB26,670256,"Adopt the Choice for the Advancement of Nebraska Children in Education Act and provide for tax credits"
LB27,670290,"Create a reporting requirement under the Vital Statistics Act when parenting time is established or modified"
LB28,670243,"Adopt the Radon Resistant New Construction Act"
LB29,670199,"Change provisions relating to school health inspections"
LB30,670264,"Prohibit disclosure of any applicant or permitholder information regarding firearms registration, possession, sale, or use as prescribed"
LB31,670295,"Eliminate motorcycle and moped helmet requirements"
LB32,670198,"Require the Department of Correctional Services to submit strategic plans as part of its budget request and progress reports"
LB33,670240,"Require revenue volatility reporting by the Legislative Fiscal Analyst and strategic planning and reporting by the Department of Correctional Services"
LB34,670281,"Adopt the Carbon Monoxide Safety Act"
LB35,670282,"Change Business Corporation Act references"
LB36,670245,"Adopt the Community College Gap Assistance Program Act"
LB37,670293,"Adopt the Prescription Drug Safety Act and change and transfer pharmacy, prescription, and drug provisions"
LB38,670272,"Change motor vehicle homicide penalties and provide penalties for causing serious bodily injury to vulnerable road users"
LB39,670206,"Change provisions regarding passing bicycles and bicycle operating regulations"
LB40,670277,"Grant investigative powers to the Public Employees Retirement Board and delete unconstitutional provisions"
LB41,670202,"Redefine county for county retirement plan purposes"
LB42,670232,"Change the due date for certain retirement plan reporting"
LB43,670275,"Provide for standby guardians and recovery of assets under the Nebraska Probate Code"
