bill_number,bill_id,title
HB1,454404,"General Appropriations Bill."
HB4,448228,"Relating to the administration of the Texas Water Development Board and the funding of water projects by the board and other entities; authorizing the issuance of revenue bonds."
HB5,488062,"Relating to public school accountability, including assessment, and curriculum requirements; providing a criminal penalty."
HB6,522813,"Relating to the creation and re-creation of funds and accounts, the dedication and rededication of revenue, and the exemption of unappropriated money from use for general governmental purposes."
HB7,522810,"Relating to the amounts, availability, and use of certain statutorily dedicated revenue and accounts; reducing or affecting the amounts or rates of certain statutorily dedicated fees and assessments; making an appropriation."
HB8,494762,"Relating to the prosecution and punishment of offenses related to trafficking of persons and to certain protections for victims of trafficking of persons."
HB9,526939,"Relating to posting certain information regarding compensation of state agency executive staff on the Internet."
HB10,472631,"Relating to making emergency supplemental appropriations and providing direction and transfer authority regarding certain appropriations."
HB11,448199,"Relating to the appropriation of money from the economic stabilization fund to finance certain water-related projects."
HB12,526938,"Relating to gifts and other consideration made to state agencies for state employee salary supplement or other purposes and to publication by state agencies of staff compensation and related information."
HB13,489963,"Relating to the State Pension Review Board and public retirement systems; authorizing a fee."
HB14,489985,"Relating to the fiscal transparency and accountability of certain entities responsible for public money."
HB15,482860,"Relating to level of care designations for hospitals that provide neonatal and maternal services."
HB16,526937,"Relating to a requirement that a state agency post its internal auditor's audit plan and audit report and other audit information on the agency's Internet website."
HB19,528263,"Relating to the appropriation of money from the economic stabilization fund to finance certain transportation infrastructure and water-related projects."
HB20,512852,"Relating to the repurchase of real property from an entity with eminent domain authority."
HB21,436092,"Relating to a central database containing information about offenders who have committed certain offenses against children or offenses involving family or dating violence."
HB22,436093,"Relating to the establishment of a public service requirement for undergraduate students, known as Service to Texas, at public institutions of higher education."
HB23,436094,"Relating to restrictions on the use of commercial social networking sites by sex offenders; imposing a criminal penalty."
HB24,436095,"Relating to the appointment and duties of and the funding for a policy director for the prevention of driving while intoxicated; imposing a fee."
HB25,436096,"Relating to success-based funding for certain public institutions of higher education."
HB26,436097,"Relating to unemployment compensation eligibility and chargebacks regarding certain persons who are victims or whose immediate family members are victims of sexual assault."
HB27,436098,"Relating to the creation of an offense for certain prohibited uses of a wireless communication device while operating a motor vehicle."
HB28,436099,"Relating to authorization by the Texas Higher Education Coordinating Board for certain public junior colleges to offer baccalaureate degree programs."
HB29,436100,"Relating to requiring certain general academic teaching institutions to offer a fixed tuition price plan to undergraduate students."
HB30,436101,"Relating to measures to facilitate the transfer, academic progress, and timely graduation of students in public higher education; authorizing a fee."
HB31,436102,"Relating to certain requirements applicable to meetings of the governing board of a general academic teaching institution or a state university system."
HB32,436103,"Relating to the punishment for and certain other consequences of committing the offense of prostitution."
HB33,436104,"Relating to alternative methods of dispute resolution in certain disputes between the Department of Aging and Disability Services and an assisted living facility licensed by the department."
HB34,436105,"Relating to the consumption of alcoholic beverages on certain premises; providing a penalty and authorizing a fee."
HB35,436106,"Relating to the authority of a property owners' association to regulate the use of certain lots for residential purposes."
HB36,436107,"Relating to the criminal penalty for and certain civil consequences of damaging property with graffiti."
HB37,436108,"Relating to ensuring the continuation of certain public benefits, including medical assistance, for individuals after release from confinement in a county jail."
HB38,436109,"Relating to the penalty for an offense involving motor vehicle airbags."
HB39,436110,"Relating to extending a local behavioral health intervention pilot project."
HB40,436111,"Relating to the sales tax exemption period for clothing, footwear, and certain other items."
HB41,436112,"Relating to the use of a wireless communication device while operating a motor vehicle; providing for penalties."
HB42,436113,"Relating to the prosecution of the offenses of gambling and keeping a gambling place."
HB43,436114,"Relating to the establishment of the affordable assisted living facility program."
HB44,436115,"Relating to a moratorium on administering assessment instruments to public school students under the public school accountability system."
HB45,436116,"Relating to the occupational licensing of spouses of members of the military and the eligibility requirements for certain occupational licenses issued to applicants with military experience."
HB46,436117,"Relating to the regulation of raw milk and raw milk products."
HB47,436118,"Relating to a handgun proficiency course that is taken to obtain or renew a concealed handgun license."
HB48,436119,"Relating to the procedure under which a person may renew a license to carry a concealed handgun."
HB49,436120,"Relating to inclusion of a course on the United States Constitution in the curriculum requirements for public high school students."
HB50,436121,"Relating to renaming the adjutant general's department as the Texas Military Department."
HB51,436122,"Relating to the posting of the Ten Commandments in public school classrooms."
HB52,436123,"Relating to the sale of a cemetery plot; providing penalties; authorizing a fee."
HB53,436124,"Relating to certain reimbursements provided for the collection of sales and use taxes."
HB54,436125,"Relating to certain reimbursements and discounts provided for collection and payment of sales and use taxes."
HB55,436126,"Relating to the exemption or tax reduction for certain high-cost gas."
HB56,436127,"Relating to the tax exemption for permanent hotel residents."
HB57,436128,"Relating to the repeal of state sales tax and franchise tax refunds for certain ad valorem tax payers."
HB58,436129,"Relating to monies for women's health care services."
HB59,436130,"Relating to participation by political subdivisions in federal healthcare programs."
HB60,436131,"Relating to the failure to report a missing child or the death of a child; providing penalties."
HB61,436132,"Relating to the punishment for the offense of arson."
HB62,436133,"Relating to a justice or judge having an interest in a business entity that owns, manages, or operates a private correctional or rehabilitation facility."
HB63,436134,"Relating to the creation of an offense for use of a handheld wireless communication device for text-based communication while operating a motor vehicle."
HB64,436135,"Relating to the liability of and the validation of certain acts of the Midland County Fresh Water Supply District No. 1."
HB65,436136,"Relating to the administration to public school students in certain grades of state-administered assessment instruments."
HB66,436137,"Relating to the establishment of a pilot program under which high school students may accrue prepaid tuition units at public institutions of higher education by completing certain community service activities."
HB67,436138,"Relating to the establishment by The University of Texas System of a law school in the Rio Grande Valley."
HB68,436139,"Relating to cognitive-linguistic or neurocognitive assessments of participants in extracurricular athletic activities sponsored or sanctioned by the University Interscholastic League."
HB69,436140,"Relating to the creation of an offense for certain uses of a wireless communication device while operating a motor vehicle."
HB70,436141,"Relating to the exclusion of certain witnesses during a criminal proceeding."
HB71,436142,"Relating to the classification of automotive repair shops as primarily engaged in retail trade for purposes of the franchise tax."
HB72,436143,"Relating to the penalty for the offense of leaving the scene of an accident that involves personal injury or death."
HB73,436144,"Relating to the prosecution of and the punishment for the offense of burglary committed while evading arrest or detention."
HB74,436145,"Relating to the exception to disclosure under the public information law of certain personal information contained in a citation issued for a violation of a state traffic law or local traffic ordinance."
HB75,436146,"Relating to the regulation of certain private security companies and occupations."
HB76,436147,"Relating to the discharge of a surety's liability on a bail bond in a criminal case."
HB77,436148,"Relating to the verification of motor vehicle financial responsibility information."
HB78,436149,"Relating to the exemption from the sales and use tax for certain coins and precious metals."
HB79,436150,"Relating to the designation of a segment of U.S. Highway 80 as the Sergeant Travis E. Watkins Memorial Highway."
HB80,436151,"Relating to official oppression; creating offenses."
HB81,436152,"Relating to the eligibility of children and other dependents of certain military personnel or veterans for tuition and fee exemptions at public institutions of higher education."
HB82,436153,"Relating to a single common course numbering system for public institutions of higher education in this state."
HB83,436154,"Relating to the implementation of county solid waste management programs in the extraterritorial jurisdiction of a municipality."
HB84,436155,"Relating to the establishment and operation of a motor-bus-only lane pilot program in certain counties."
HB85,436156,"Relating to state administration of assessment instruments to public school students."
HB86,436157,"Relating to the criteria for review by the Sunset Advisory Commission of an agency that licenses an occupation."
HB87,436158,"Relating to regulation of an individual's occupation."
HB88,436159,"Relating to the constitutional limit on the rate of growth of appropriations."
HB89,436160,"Relating to the continuation of the Human Trafficking Prevention Task Force."
HB90,436161,"Relating to civil liability for compelled prostitution and certain promotion of prostitution."
HB91,436162,"Relating to the designation of a juvenile court and a pre-adjudication diversion program for certain juveniles alleged to have engaged in conduct that violates certain penal laws regarding prostitution."
HB92,436163,"Relating to state formula funding for pharmacy schools and colleges and graduate-level pharmacy programs."
HB93,436164,"Relating to entities that qualify as historically underutilized businesses."
HB94,436165,"Relating to the validity and reliability of assessment instruments administered by the state in public schools."
HB95,436166,"Relating to exempting a school district from the obligation to comply with certain unfunded state educational mandates."
HB96,436167,"Relating to providing free full-day prekindergarten for certain children."
HB97,436168,"Relating to the exemption from ad valorem taxation of part of the appraised value of the residence homestead of a partially disabled veteran or the surviving spouse of a partially disabled veteran if the residence homestead was donated to the disabled veteran by a charitable organization."
HB98,436169,"Relating to zero-based budgeting for certain entities funded by this state."
HB99,436170,"Relating to the state contributions to the Teacher Retirement System of Texas."
HB100,437855,"Relating to unit operations for oil, gas, or oil and gas production or carbon dioxide storage."
HB101,436171,"Relating to the use of radio frequency identification technology to transmit information regarding public school students."
HB102,436172,"Relating to the use of radio frequency identification technology to transmit information regarding public school students."
HB103,436173,"Relating to a supplemental payment for retirees of the Teacher Retirement System of Texas and the unfunded actuarial liabilities allowed under that system."
HB104,436175,"Relating to surcharges associated with and the enforcement of the driver responsibility program."
HB105,436176,"Relating to the allocation of the proceeds from taxes imposed on the sale, storage, or use of sporting goods."
HB106,436177,"Relating to the permissible uses of the state highway fund."
HB107,436178,"Relating to the regulation by certain counties of the sale and use of fireworks; providing penalties."
HB108,436179,"Relating to the creation of an offense for use of a handheld wireless communication device for text-based communication while operating a motor vehicle."
HB109,436180,"Relating to local option elections to legalize or prohibit the operation of eight-liners and the imposition of a fee on eight-liner owners; providing penalties."
HB110,436181,"Relating to leave for junior college district or university system employees who are physically assaulted while on duty."
HB111,436182,"Relating to the fees collected by prosecutors for collection and processing of certain checks or similar sight orders."
HB112,436183,"Relating to requiring parties in a suit affecting the parent-child relationship to disclose to the court knowledge of certain registered sex offenders; providing a penalty."
HB113,436184,"Relating to the exemption from ad valorem taxation of the total appraised value of the residence homestead of the surviving spouse of a 100 percent or totally disabled veteran."
HB114,436185,"Relating to voluntary emissions inspections in border counties."
HB115,436186,"Relating to identification numbers on vessels."
HB116,436187,"Relating to the sunset review of regional mobility authorities."
HB117,436188,"Relating to the composition of the Texas Transportation Commission and the selection of members of that commission."
HB118,436189,"Relating to voting eligibility requirements for members of a metropolitan planning organization policy board."
HB119,436190,"Relating to citizenship information reported by persons who receive local or state money to provide services to individuals in this state."
HB120,436191,"Relating to the issuance of military specialty license plates; providing an exemption from a fee."
HB121,436192,"Relating to requiring that members of the governing board of certain metropolitan rapid transit authorities be elected."
HB122,436193,"Relating to the determination of resident status of students by public institutions of higher education."
HB123,436194,"Relating to an interlocal contract between a governmental entity and a purchasing cooperative to purchase roofing materials or services."
HB124,436195,"Relating to the addition of Salvia divinorum and its derivatives and extracts to Penalty Group 3 of the Texas Controlled Substances Act."
HB125,436196,"Relating to the punishment prescribed for the offenses of false identification as a peace officer and misrepresentation of property."
HB126,436197,"Relating to refunds or credits of certain sales tax paid by certain business entities during a limited period."
HB127,436198,"Relating to electioneering on the premises of certain privately owned polling places."
HB128,436199,"Relating to the creation of a childhood health program grant."
HB129,436200,"Relating to recusal of a justice of the supreme court or judge of the court of criminal appeals based on political contributions accepted by the justice or judge from a person involved in a case before the justice or judge."
HB130,436202,"Relating to honesty in state taxation."
HB131,436203,"Relating to the filing of an application for a place on the general primary election ballot."
HB132,436204,"Relating to establishing a pilot program in designated public high schools in certain municipalities for placement of students in Junior Reserve Officers' Training Corps programs as an alternative to placement in disciplinary or juvenile justice alternative education programs."
HB133,436205,"Relating to the dissemination of criminal history record information by the Department of Public Safety concerning the offense of intoxication manslaughter and to a task force to reduce habitual driving while intoxicated."
HB134,436206,"Relating to the criminal jurisdiction of the supreme court and the abolishment of the court of criminal appeals."
HB135,436207,"Relating to reports of suspected child abuse or neglect and training regarding child abuse and neglect."
HB136,436208,"Relating to an annual state budget and legislative budget sessions in even-numbered years and to political contributions made during a legislative session."
HB137,436209,"Relating to the information reported to the comptroller by a coin-operated machine license holder, the penalty for failure to report that information, the penalty for gambling promotion, and the prosecution of certain gambling offenses."
HB138,436210,"Relating to funding for certain commercial service airport projects."
HB139,436211,"Relating to the exercise of urban renewal powers by certain counties."
HB140,436212,"Relating to the punishment for the offense of manslaughter."
HB141,436213,"Relating to county and municipal land development regulation."
HB142,436214,"Relating to a prohibition against human cloning and regulating other uses of human tissue by institutions of higher education; providing penalties."
HB143,436215,"Relating to the instruction of American Sign Language in public high schools."
HB144,436216,"Relating to a mental examination of a child subject to the juvenile justice system."
HB145,436217,"Relating to the reapportionment of state legislative, congressional, and judicial districts and the creation, function, and duties of the Texas Redistricting Commission."
HB146,436218,"Relating to limits on political contributions and expenditures in connection with certain legislative and executive offices; providing civil and criminal penalties."
HB147,436219,"Relating to the regulatory analysis of rules proposed by the Texas Commission on Environmental Quality."
HB148,436220,"Relating to aid provided to certain voters; providing criminal penalties."
HB149,436221,"Relating to the Texas Liberty Preservation Act; providing penalties."
HB150,436222,"Relating to the display of flags at half-staff at the Capitol building to honor service members killed in action."
HB151,436223,"Relating to the adoption of a county charter by Bexar County."
HB152,436224,"Relating to the identification information required of an applicant for a driver's license."
HB153,436225,"Relating to the definition of intoxicated for purposes of certain weapons offenses."
HB154,436226,"Relating to the termination of the parent-child relationship and the duty to pay child support in circumstances involving mistaken paternity."
HB155,436227,"Relating to the issuance of specialty license plates for certain Operation Enduring Freedom veterans."
HB156,436228,"Relating to a driver's license renewal appointment system for prospective anatomical gift donors."
HB157,436229,"Relating to detentions during motor vehicle stops for the purpose of determining the identity of persons operating the vehicles."
HB158,436230,"Relating to the designation on a person's driver's license or commercial driver's license that the person is licensed to carry a concealed handgun."
HB159,436231,"Relating to the applicability of adverse licensing, listing, or registration decisions by certain health and human services agencies."
HB160,436232,"Relating to the reimbursement of state funds used on out-of-state travel by elected officers."
HB161,436233,"Relating to drug testing of certain persons seeking financial assistance benefits."
HB162,436234,"Relating to the allocation of the proceeds from taxes imposed on the sale, storage, or use of sporting goods."
HB163,436235,"Relating to requiring a copy of a named insured's driver's license for issuance of an automobile insurance policy."
HB164,436236,"Relating to abolishing the death penalty."
HB165,436237,"Relating to suits affecting the parent-child relationship and placement decisions for children in foster care."
HB166,436238,"Relating to the creation of a commission to investigate convictions after exoneration and to prevent wrongful convictions."
HB167,436239,"Relating to the establishment, operation, and funding of victim-offender mediation programs; authorizing a fee."
HB168,436240,"Relating to the operation, powers, and duties of certain water districts; providing clarification of existing authority with regard to the imposition or use of certain assessments, fees, or taxes; providing authority to change a fee or repeal a tax."
HB169,436241,"Relating to the registration of voters at a polling place and related procedures."
HB170,436242,"Relating to the coverage by certain health benefit plans of mammograms performed by certain health care providers."
HB171,436243,"Relating to the establishment of veterans resource centers at certain institutions of higher education."
HB172,436244,"Relating to a program to provide financial incentives to students who agree to teach bilingual education, English as a second language, or Spanish in certain public schools."
HB173,436245,"Relating to an optometry career program at the University of Houston."
HB174,436246,"Relating to creating American Indian Heritage Day."
HB175,436247,"Relating to a cost-of-living increase applicable to benefits paid by the Teacher Retirement System of Texas."
HB176,436248,"Relating to the salary paid to certain professional employees of public schools."
HB177,436249,"Relating to housing prisoners in a tent or other facility in lieu of a county jail."
HB178,436250,"Relating to exemption from the sales tax for certain water efficient products for a limited period."
HB179,436251,"Relating to the recall of members of school district boards of trustees."
HB180,436252,"Relating to the determination of resident status of students by public institutions of higher education."
HB181,436253,"Relating to a prohibition against the construction or operation by a local governmental entity of a day labor center used to facilitate the employment of aliens not lawfully present in the United States."
HB182,436254,"Relating to the penalty for certain offenders for possession of a small amount of certain controlled substances."
HB183,436255,"Relating to the prosecution of and punishment for the offense of official oppression."
HB184,436256,"Relating to the penalties for possession of one ounce or less of marihuana or a synthetic cannabinoid by certain defendants."
HB185,436257,"Relating to liability of a governmental unit for personal injury and death caused by the governmental unit's negligence."
HB186,436259,"Relating to the closure of a school campus by the board of trustees of a school district."
HB187,436260,"Relating to the authority of the Near Northside Management District to undertake tax increment financing."
