Row,consistency,opportunity,percentage
id10753,0,0,NaN
id12024,0,0,NaN
id12166,0,0,NaN
id13858,0,0,NaN
id14780,0,0,NaN
id14781,0,0,NaN
id15770,0,0,NaN
id6204,0,0,NaN
id6208,0,0,NaN
id6221,0,0,NaN
id6228,0,0,NaN
id6245,0,0,NaN
id6255,0,0,NaN
id6256,0,0,NaN
id6257,0,0,NaN
id6258,0,0,NaN
id6264,0,0,NaN
id6265,0,0,NaN
id6268,0,0,NaN
id6271,0,0,NaN
id6272,0,0,NaN
id6273,0,0,NaN
id6274,0,0,NaN
id6275,0,0,NaN
id6279,0,0,NaN
id6280,0,0,NaN
id6282,0,0,NaN
id6283,0,0,NaN
id6286,0,0,NaN
