Row,id10753,id13858,id6204,id6208,id6228,id6245,id6255,id6256,id6257,id6258,id6264,id6265,id6268,id6271,id6272,id6274,id6280,id6283
id10753,2,3,1,2,1,NaN,2,1,1,3,2,2,1,1,1,2,3,1
id12024,1,1,2,1,1,NaN,2,1,NaN,1,1,1,NaN,NaN,NaN,2,5,3
id12166,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
id13858,2,6,2,4,3,NaN,5,1,NaN,6,3,3,NaN,3,4,3,6,3
id14780,1,NaN,1,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,2
id14781,1,NaN,2,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,2,1
id6204,4,3,5,4,3,NaN,3,1,1,3,3,4,1,2,2,2,5,3
id6208,4,4,3,5,3,1,5,2,1,4,3,3,2,1,1,4,7,3
id6228,3,3,5,5,5,NaN,7,NaN,NaN,3,2,2,1,2,1,3,5,1
id6245,NaN,3,1,1,NaN,NaN,1,NaN,NaN,3,1,1,NaN,NaN,2,1,3,1
id6255,2,3,3,3,3,NaN,5,NaN,NaN,3,2,2,NaN,2,1,2,4,2
id6256,3,3,NaN,2,1,NaN,2,2,3,3,2,4,1,1,1,2,3,1
id6257,1,2,NaN,2,NaN,NaN,1,NaN,NaN,2,2,2,NaN,2,NaN,1,3,NaN
id6258,2,2,1,2,1,NaN,1,NaN,1,2,1,2,1,NaN,1,NaN,1,NaN
id6264,3,3,2,1,1,1,6,NaN,NaN,3,1,1,NaN,NaN,2,4,4,1
id6265,2,3,1,2,1,NaN,2,NaN,1,3,2,3,NaN,1,1,1,3,NaN
id6268,3,2,NaN,3,1,NaN,2,NaN,NaN,2,1,1,1,NaN,1,2,3,1
id6271,1,3,2,2,1,1,2,NaN,NaN,3,1,1,1,1,3,1,1,NaN
id6272,3,8,3,4,3,1,4,1,NaN,8,3,3,1,2,8,3,6,1
id6273,1,NaN,1,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN
id6274,2,1,2,1,NaN,1,2,NaN,1,2,1,2,NaN,NaN,1,4,6,5
id6279,2,NaN,1,NaN,NaN,NaN,2,NaN,2,NaN,NaN,2,NaN,1,1,2,3,1
id6280,2,2,3,1,2,NaN,5,NaN,NaN,2,1,1,NaN,1,1,6,8,4
id6282,3,NaN,2,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,3,4,2
id6283,1,1,1,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,2,2,3
id6286,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,1,2
