Row,id12023,id13859,id14771,id14772,id14774,id14776,id14777,id15768,id15769,id15780,id15781,id16181,id16208,id16808,id16809,id16810,id16811,id16814,id16816,id16821,id16823,id6199,id6201,id6202,id6205,id6207,id6212,id6220,id6225,id6229,id6230,id6236,id6242,id6244,id6247,id6249,id6251,id6253,id6260,id6267
id16810,16,16,15,16,15,15,13,16,16,16,16,16,16,15,16,16,16,16,15,15,16,15,14,14,16,15,16,15,16,16,15,14,14,15,16,16,16,15,15,16
id16811,18,18,18,18,17,17,18,15,18,17,18,17,18,17,18,18,18,18,16,18,18,16,16,15,18,16,18,15,18,18,18,17,17,16,18,18,18,17,18,18
id16813,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
id16814,17,17,16,17,16,17,15,16,17,17,17,17,17,16,17,17,17,17,16,17,17,16,15,13,17,16,17,15,17,17,17,15,15,16,17,16,17,16,17,17
id16815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id16816,7,7,7,7,7,7,7,6,7,7,7,7,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,6
id16817,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1
id16819,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
id16821,18,18,16,18,17,18,17,18,18,18,18,18,18,16,18,18,18,18,16,18,18,16,16,15,18,17,18,17,18,18,18,16,16,17,18,18,18,17,18,18
id16822,7,7,7,7,6,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,5,4,7,6,7,5,7,7,7,7,6,7,7,7,7,7,7,7
id16823,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3
id6199,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
id6201,11,9,11,11,11,11,10,10,11,10,11,10,11,6,6,6,6,6,5,6,6,11,11,9,11,10,11,9,11,11,10,11,10,10,10,11,11,11,11,11
id6202,8,7,8,8,8,8,7,8,8,7,8,8,8,4,5,5,5,5,5,5,5,7,8,6,8,8,8,7,8,8,8,8,7,7,8,8,8,8,8,8
id6205,8,8,8,8,8,8,8,7,8,8,8,7,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,7,8,8,8,8,8,8,7,8,8,8,8,8
id6207,18,17,17,18,17,18,17,17,18,16,18,17,18,13,14,14,14,14,13,14,14,17,17,16,18,18,18,15,18,18,17,17,17,17,16,18,18,18,18,18
id6212,5,5,5,5,5,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5
id6217,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
id6220,3,3,3,3,3,3,3,3,2,3,3,3,3,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
id6224,2,1,2,2,2,2,2,2,2,1,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
id6225,24,23,22,24,24,21,23,21,24,20,24,23,24,19,20,20,20,20,18,20,20,20,22,21,24,22,24,21,24,24,22,23,21,20,22,24,24,24,24,24
id6229,20,19,19,20,20,19,19,18,20,19,20,18,20,15,16,16,16,16,15,16,16,19,19,19,20,19,20,18,20,20,18,19,19,19,19,20,20,20,20,20
id6230,20,19,19,20,20,20,18,18,20,18,20,19,20,14,15,15,15,15,14,15,15,18,19,16,20,19,20,17,20,20,20,19,19,19,19,20,20,20,19,20
id6231,7,6,6,7,7,7,6,7,7,7,7,7,7,3,4,4,4,4,4,4,4,6,6,6,7,7,7,6,7,7,7,6,6,6,7,7,7,7,7,7
id6234,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
id6236,9,9,9,9,8,9,9,9,9,8,9,9,9,7,7,7,7,7,6,7,7,8,8,8,9,8,9,9,9,9,9,9,8,8,9,9,9,9,9,9
id6240,8,8,8,8,8,8,8,8,8,7,8,8,8,6,7,7,7,7,7,7,7,7,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
id6242,9,9,9,9,9,9,9,9,9,8,9,9,9,6,6,6,6,6,6,6,6,9,9,8,9,9,9,9,9,9,8,9,8,9,9,9,9,9,9,9
id6244,17,16,16,17,17,17,17,16,17,15,17,16,17,11,12,12,12,12,11,12,12,16,16,16,17,17,17,15,17,17,16,16,16,16,16,17,17,17,17,17
id6247,19,18,18,19,19,19,18,17,19,18,19,18,19,17,18,18,18,18,16,18,18,18,18,14,19,18,19,17,19,19,18,18,16,17,18,19,19,19,19,18
id6249,18,17,16,18,17,18,17,18,18,17,18,18,18,13,15,15,15,15,15,15,15,16,16,15,18,18,18,16,18,18,17,17,16,17,18,18,18,18,18,18
id6251,16,15,15,16,16,15,15,14,16,14,16,15,16,12,13,13,13,13,12,13,13,15,15,14,16,14,16,14,16,16,16,14,15,14,15,16,16,15,16,16
id6253,14,13,14,14,14,14,13,12,14,13,14,13,14,8,10,10,10,10,8,10,10,13,13,12,14,13,14,12,14,14,12,14,11,12,13,14,14,14,14,14
id6260,14,14,13,14,14,14,13,12,14,13,14,12,14,10,11,11,11,11,11,11,11,12,13,12,14,12,14,12,14,14,14,13,13,14,14,14,14,14,14,14
id6266,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,3,4,4,5,5,4,5,5,5,4,5,5,5,4,3,4,5,4,5,5,5,4
id6267,21,20,19,21,21,21,20,21,21,21,21,21,21,15,16,16,16,16,15,16,16,20,20,17,21,20,21,20,21,21,19,19,19,20,21,21,21,20,21,21
