Row,consistency,opportunity,percentage
id10751,0,0,NaN
id10752,0,0,NaN
id12023,0,0,NaN
id12026,0,0,NaN
id13859,0,0,NaN
id14771,0,0,NaN
id14772,0,0,NaN
id14773,0,0,NaN
id14774,0,0,NaN
id14776,0,0,NaN
id14777,0,0,NaN
id15768,0,0,NaN
id15769,0,0,NaN
id15780,0,0,NaN
id15781,0,0,NaN
id15782,0,0,NaN
id16181,0,0,NaN
id16208,0,0,NaN
id16808,0,0,NaN
id16809,0,0,NaN
id16810,0,0,NaN
id16811,0,0,NaN
id16812,0,0,NaN
id16813,0,0,NaN
id16814,0,0,NaN
id16815,0,0,NaN
id16816,0,0,NaN
id16817,0,0,NaN
id16818,0,0,NaN
id16819,0,0,NaN
id16820,0,0,NaN
id16821,0,0,NaN
id16822,0,0,NaN
id16823,0,0,NaN
id6199,0,0,NaN
id6201,0,0,NaN
id6202,0,0,NaN
id6205,0,0,NaN
id6207,0,0,NaN
id6212,0,0,NaN
id6214,0,0,NaN
id6215,0,0,NaN
id6217,0,0,NaN
id6220,0,0,NaN
id6222,0,0,NaN
id6224,0,0,NaN
id6225,0,0,NaN
id6227,0,0,NaN
id6229,0,0,NaN
id6230,0,0,NaN
id6231,0,0,NaN
id6234,0,0,NaN
id6236,0,0,NaN
id6240,0,0,NaN
id6242,0,0,NaN
id6244,0,0,NaN
id6247,0,0,NaN
id6249,0,0,NaN
id6251,0,0,NaN
id6253,0,0,NaN
id6260,0,0,NaN
id6266,0,0,NaN
id6267,0,0,NaN
