Row,id12024,id12166,id14780,id14781,id15770,id6221,id6273,id6274,id6275,id6279,id6282,id6286
id12024,1,0.6,0.548387096774194,NaN,NaN,NaN,0.380952380952381,NaN,0.641025641025641,NaN,NaN,0.722222222222222
id12166,0.6,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1
id14780,0.548387096774194,NaN,1,NaN,NaN,NaN,0.76,NaN,0.617021276595745,NaN,NaN,0.571428571428571
id14781,NaN,NaN,NaN,1,1,0.727272727272727,NaN,NaN,NaN,NaN,0.933333333333333,NaN
id15770,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,0.857142857142857,1,NaN
id6221,NaN,NaN,NaN,0.727272727272727,NaN,1,NaN,NaN,NaN,NaN,0.769230769230769,NaN
id6273,0.380952380952381,NaN,0.76,NaN,NaN,NaN,1,1,0.592592592592593,NaN,NaN,0.583333333333333
id6274,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,0.736842105263158,1,NaN
id6275,0.641025641025641,NaN,0.617021276595745,NaN,NaN,NaN,0.592592592592593,NaN,1,1,NaN,0.571428571428571
id6279,NaN,1,NaN,NaN,0.857142857142857,NaN,NaN,0.736842105263158,1,1,NaN,NaN
id6282,NaN,1,NaN,0.933333333333333,1,0.769230769230769,NaN,1,NaN,NaN,1,NaN
id6286,0.722222222222222,1,0.571428571428571,NaN,NaN,NaN,0.583333333333333,NaN,0.571428571428571,NaN,NaN,1
