Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year,full_name,party_name,ag_count,candidate_count,comm_count,construct_count,defense_count,energy_count,finance_count,general_count,government_count,health_count,ideology_count,labor_count,law_count,non_count,partyfund_count,public_count,transportation_count,uncoded_count,unitem_count,total_count,ag,candidate,comm,construct,defense,energy,finance,general,government,health,ideology,labor,law,non,partyfund,public,transportation,uncoded,unitem,total,year_count
id17791,1514.24738060858,1513.7968424375,380000,11.4693615740759,Jeff Ellington,17791,Jeff,,Ellington,,,1,R,1,Rep,HD-062,2016,"ELLINGTON, JEFF",REPUBLICAN,2,11,2,3,0,4,1,9,1,2,2,4,2,0,1,0,0,56,2,102,1365,34543.0358,682.5,2275,0,1274,273,15037.75,91,546,1820,2821,682.5,0,8209.11,0,0,23076.6809,595.1491,93291.7258,1
id17750,1514.2503140408,1513.78664628617,380000,8.26270494887603,Randy Lyness,17750,Randy,,Lyness,,,1,R,1,Rep,HD-068,2016,"LYNESS, RANDY",REPUBLICAN,0,0,3,2,0,3,3,4,0,1,0,0,3,0,0,0,0,48,1,68,0,0,910,1183,0,819,819,3865,0,273,0,0,910,0,0,0,0,18437.2,3985,31201.2,2
id16807,1514.61620814155,1513.82264903686,758000,8.07928764833468,Anthony Cook,16807,Anthony,,Cook,,,1,R,1,Rep,,2016,"COOK, ANTHONY",REPUBLICAN,0,2,2,4,0,5,4,10,0,4,2,1,6,0,1,0,0,54,3,98,0,182,910,2548,0,1365,1274,3071.2864,0,1547,1365,409.5,2639,0,553.5712,0,0,10920,1469.65,28254.0076,1
id16801,1514.70165963567,1514.00288584586,758000,7.48313533267151,Donna Schaibley,16801,Donna,,Schaibley,,,1,R,1,Rep,,2016,"SCHAIBLEY, DONNA",REPUBLICAN,3,1,1,7,0,3,12,16,1,4,2,3,14,0,1,0,0,106,1,175,1365,227.5,273,2388.75,0,955.5,5096,30641.8385,91,1092,4823,1592.5,5414.5,0,553.5712,0,0,24522.3524,16.4892,79053.0013,1
id16704,1500,1500,0,0,Mike Braun,16704,Mike,,Braun,,,1,R,1,Rep,HD-063,2016,"BRAUN, MIKE",REPUBLICAN,7,1,5,5,0,16,16,17,2,9,2,1,9,0,0,0,6,170,0,266,5560,930,2285,3503.5,0,5446.6829,7685,6255.9,370,2708.5,1385,465,2647,0,0,0,4641,93334.5197,0,137217.1026,2
id16703,1513.93180759359,1513.88443649534,758000,9.08673689182706,Melanie Wright,16703,Melanie,M.,Wright,,,0,D,1,Rep,HD-035,2016,"WRIGHT, MELANIE M",DEMOCRATIC,5,22,3,0,0,2,15,10,5,5,2,76,8,0,9,0,1,125,9,297,2125,9284.5928,1375,0,0,546,5732.5,4948.5,1112,1410.5,1066.5,212804.1306,5015,0,130238.5056,0,480,27255.898,7831.4051,411225.5321,3
id16702,1514.70106793454,1513.91734210687,758000,10.8408564012357,Julie Olthoff,16702,Julie,,Olthoff,,,1,R,1,Rep,HD-019,2016,"OLTHOFF, JULIE",REPUBLICAN,0,3,2,2,0,7,9,7,3,1,5,3,2,0,27,0,1,125,6,203,0,406.45,910,1183,0,2593.5,8508.5,2408.3232,277,273,51478,455,546,0,706053.4153,0,91,24324.044,5621.5261,805128.7586,2
id16701,1514.60939009941,1513.81568463871,758000,10.9328962770676,William Fine,16701,William,I.,Fine,,Bill,1,R,1,Rep,HD-012,2016,"FINE, WILLIAM I (BILL)",REPUBLICAN,0,17,3,2,0,4,5,8,2,6,2,1,8,0,29,0,0,117,9,213,0,7147.9403,1183,1183,0,1820,1638,2337.6808,144,1940,5710,455,3900.8434,0,369315.4868,0,0,51123.4862,12344.8647,460243.3022,3
id16538,1513.84666869537,1513.69957733107,758000,10.9854653517482,Christopher Judy,16538,Christopher,N.,Judy,,Chris,1,R,1,Rep,HD-083,2016,"JUDY, CHRISTOPHER N (CHRIS)",REPUBLICAN,3,0,0,1,0,3,5,8,0,1,1,1,3,0,0,0,0,55,12,93,5661,0,0,273,0,910,1342.25,3650,0,273,910,455,955.5,0,0,0,0,18337.6085,5168.6942,37936.0527,2
id16537,1513.91826778014,1513.93818027045,758000,9.43990219548209,Curt Nisly,16537,Curt,,Nisly,,,1,R,1,Rep,HD-022,2016,"NISLY, CURT",REPUBLICAN,1,7,2,0,0,3,4,5,1,2,8,5,3,0,4,0,3,147,14,209,455,2032.7754,682.5,0,0,819,1931,1921,232.5,552,29693.5,2604,955.5,0,38750.3751,0,1183,30204.2699,13598.6326,125615.053,2
