Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year,full_name,party_name,ag_count,candidate_count,comm_count,construct_count,defense_count,energy_count,finance_count,general_count,government_count,health_count,ideology_count,labor_count,law_count,non_count,partyfund_count,public_count,transportation_count,uncoded_count,unitem_count,total_count,ag,candidate,comm,construct,defense,energy,finance,general,government,health,ideology,labor,law,non,partyfund,public,transportation,uncoded,unitem,total,year_count
id16536,1533.31388107671,1552.93446026438,5805000,-18.395749783549,Jeff Raatz,16536,Jeff,,Raatz,,,1,R,2,Sen,SD-027,2016,"RAATZ, JEFF",REPUBLICAN,3,4,1,2,0,2,7,26,1,7,6,1,8,0,5,0,1,117,0,191,558,1623.5289,232.5,976.5,0,744,3580.5,32162.5341,23.25,6184.5,23715,465,3115.5,0,43016.8152,0,279,38103.495,0,154780.1232,1
id16535,1533.30013329486,1552.88277994905,5805000,-20.399824484821,Clyde Perfect,16535,Clyde,A.,Perfect,Jr.,Chip,1,R,2,Sen,SD-043,2016,"PERFECT JR, CLYDE A (CHIP)",REPUBLICAN,1,1,1,0,0,2,5,9,0,0,1,0,6,0,2,0,1,54,4,87,930,18600,930,0,0,744,7719,5410.7493,0,0,2325,0,2232,0,31418.5992,0,465,23761.5,455.7,94991.5485,1
id16534,1395.68385758259,1303.39612718912,5805000,94.6299993522543,Elizabeth Brown,16534,Elizabeth,M.,Brown,,Liz,1,R,2,Sen,SD-015,2016,"BROWN, ELIZABETH M (LIZ)",REPUBLICAN,4,27,3,5,0,3,7,21,4,10,4,1,6,0,3,0,3,262,0,363,1953,57568.395,1488,1441.5,0,1906.5,6742.5,40560.3783,372,6736.9479,11625,279,1674,0,68541,0,1348.5,96505.3281,0,298742.0493,1
id16533,1533.31148167651,1552.91282973364,5805000,-17.9577201721272,Erin Houchin,16533,Erin,,Houchin,,,1,R,2,Sen,SD-047,2016,"HOUCHIN, ERIN",REPUBLICAN,2,27,0,4,0,9,4,19,3,1,8,0,13,0,15,0,1,226,199,531,688.2,19086.7713,0,2092.5,0,5719.5,3255,48983.4534,883.5,93,50685,0,3906,0,166349.751,0,930,60615.633,10200.24,373488.5487,1
id16532,1509.3705147167,1552.40527727581,5805000,-42.8700098350973,Jon Ford,16532,Jon,,Ford,,,1,R,2,Sen,SD-038,2016,"FORD, JON",REPUBLICAN,0,4,0,2,0,4,3,9,0,1,0,0,2,0,7,0,0,96,1,129,0,9765,0,325.5,0,3348,651,5040.3024,0,93,0,0,186,0,134790.573,0,0,27899.07,950.46,183048.9054,1
id16531,1533.59488240795,1552.82891070107,5100000,-18.650956636,Eric Bassler,16531,Eric,S.,Bassler,,,1,R,2,Sen,SD-039,2016,"BASSLER, ERIC S",REPUBLICAN,0,6,0,1,0,8,0,22,0,0,4,1,6,0,8,0,0,170,96,322,0,26505,0,2325,0,4045.5,0,60408.3825,0,0,5580,604.5,1720.5,0,53554.7475,0,0,109983.009,6841.6566,271568.2956,1
id15697,1415.48907774964,1303.37239455841,9945000,114.413522072292,Pete Miller,15697,Pete,,Miller,,,1,R,2,Sen,SD-024,2016,"MILLER, PETE",REPUBLICAN,1,16,14,16,1,18,29,39,1,32,6,4,25,0,8,0,3,126,45,384,455,12168.5,9239.9056,11342,455,6781,14726,25442.5238,96,11864.5,20247.5,1638,7360,0,58624.3135,0,1183,39993.2703,2852.8801,224469.3933,2
id14765,1533.31385055182,1552.887600987,5805000,-18.0039147180764,Rick Niemeyer,14765,Rick,,Niemeyer,,,1,R,2,Sen,SD-006,2016,"NIEMEYER, RICK",REPUBLICAN,3,4,1,1,0,4,4,5,0,0,1,13,5,0,14,0,1,167,3,226,1450.5,8389.3728,930,186,0,1674,1449,2433,0,0,2325,14794.5,1914,0,55225.1928,0,279,39815.4021,15969.9,146834.8677,2
id14193,1514.63267187987,1551.93886039135,9945000,-39.2640110416489,Michael Crider,14193,Michael,R.,Crider,,Mike,1,R,2,Sen,SD-028,2016,"CRIDER, MICHAEL R (MIKE)",REPUBLICAN,11,21,18,17,3,37,26,30,10,48,5,13,30,0,6,0,13,163,11,462,3477,33523.9216,11819.4218,8382.5,2047.5,19366.5,8853,12503.4,1318.208,21898,10925.87,5801,8547,0,32640.6619,0,4383,34390.4515,1890.8256,221768.2604,2
id14060,1417.30131183539,1508.90675655987,9945000,-92.8474756140931,Mark Stoops,14060,Mark,,Stoops,,,0,D,2,Sen,SD-040,2016,"STOOPS, MARK",DEMOCRATIC,1,3,3,1,0,3,17,10,8,36,6,17,16,0,0,0,5,29,4,159,455,4295,1365,288,0,1001,5449.5,4120,950,11648,686.208,9645.8,10276,0,0,0,1638,8884.65,6631.68,67333.838,2
