name,party_name,year,district,ag_count,candidate_count,comm_count,construct_count,defense_count,energy_count,finance_count,general_count,government_count,health_count,ideology_count,labor_count,law_count,non_count,partyfund_count,public_count,transportation_count,uncoded_count,unitem_count,total_count,ag,candidate,comm,construct,defense,energy,finance,general,government,health,ideology,labor,law,non,partyfund,public,transportation,uncoded,unitem,total,year_count
"CARTER, RANDY G",DEMOCRATIC,2010,HOUSE DISTRICT 046,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,448.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,0,463.1,1
"CAYWOOD, MIKE",REPUBLICAN,2012,HOUSE DISTRICT 082,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,940.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,1132.56,1
"CENKUSH, RONALD R",LIBERTARIAN,2010,HOUSE DISTRICT 005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1327,2327,1
"CHARBONNEAU, ED",REPUBLICAN,2012,SENATE DISTRICT 005,13,13,18,18,1,86,45,79,7,72,5,44,29,0,16,0,12,290,42,790,8380,29512.5496,9486,9576.5,682.5,48635.5,20293,183346.0068,985.5,34838.95,16935,47214,11031.3,0,184584.4654,0,7329,169632.9277,4486.86,786950.0595,2
"CHASTEEN, KAREN",DEMOCRATIC,2016,HOUSE DISTRICT 056,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,1,13,0,2593.5,0,0,0,0,0,0,0,0,0,1683.5,0,0,0,0,0,1638,3822,9737,1
"CHEATHAM, DAVID",DEMOCRATIC,2010,HOUSE DISTRICT 069,1,0,6,2,0,7,10,7,0,5,1,8,7,0,1,0,0,19,3,77,225,0,3300,2000,0,2200,3550,2850,0,1400,250,4200,3050,0,300,0,0,5410,2043.75,30778.75,1
"CHEEK, TOM",DEMOCRATIC,2012,HOUSE DISTRICT 067,0,0,0,0,0,0,1,0,0,0,0,23,0,0,1,0,0,52,1,78,0,0,0,0,0,0,480,0,0,0,0,26808,0,0,1031.3088,0,0,10322.592,384,39025.9008,1
"CHERRY, ROBERT W (BOB)",REPUBLICAN,2010,HOUSE DISTRICT 053,50,20,39,30,1,58,52,84,2,45,6,7,58,0,3,0,11,338,1,805,20615.75,4400.3024,15219.5,12170,465,22436.1,21293.8106,32097.9183,72,20137.3,4735,2580,18832.834,0,444,0,4995,70100.9386,91,250686.4539,4
"CHILDRESS, LON P",DEMOCRATIC,2014,SENATE DISTRICT 006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,93,651,1
"CHILDRESS, MIKE",DEMOCRATIC,2016,HOUSE DISTRICT 013,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,31,3,40,0,182,0,0,0,0,0,0,0,0,65.5473,455,136.5,0,1137.5,0,0,5031.3081,172.9,7180.7554,1
"CHUPP, JUSTIN",REPUBLICAN,2016,HOUSE DISTRICT 007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,10,455,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,1137.5,292.656,1976.156,1
"CLARK, KEEGAN",REPUBLICAN,2012,HOUSE DISTRICT 060,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,74.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.88,1
"CLAUDY, AARON",REPUBLICAN,2012,HOUSE DISTRICT 051,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,403.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.2,1
"CLEMENTS, JACQUELINE R (JACQUE)",REPUBLICAN,2010,HOUSE DISTRICT 038,0,3,0,4,0,4,0,2,0,2,0,1,5,0,0,0,0,37,3,61,0,550,0,2100,0,1150,0,600,0,300,0,500,2550,0,0,0,0,8671.01,1424.52,17845.53,1
"CLEMONS, ANTUWAN",DEMOCRATIC,2016,HOUSE DISTRICT 003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,455,1
"CLERE, EDWARD D (ED)",REPUBLICAN,2010,HOUSE DISTRICT 072,3,19,22,15,0,29,47,66,2,111,6,5,29,0,10,0,2,201,17,584,1390,60263.41,9191,5759,0,10337,43730,74480.7817,576,71093.85,64705,2105,14674.2359,0,207893.7618,0,920,60582.27,734.5404,628435.8498,4
"COOK, ANTHONY",REPUBLICAN,2016,HOUSE DISTRICT 032,0,2,2,4,0,5,4,10,0,4,2,1,6,0,1,0,0,54,3,98,0,182,910,2548,0,1365,1274,3071.2864,0,1547,1365,409.5,2639,0,553.5712,0,0,10920,1469.65,28254.0076,1
"COOPER, BRIAN M",DEMOCRATIC,2012,HOUSE DISTRICT 092,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0,555.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.6,148.8,858.24,1
"CORNSTUBLE, RICK",DEMOCRATIC,2012,HOUSE DISTRICT 026,0,9,0,0,0,0,0,1,12,0,10,11,1,0,1,0,0,161,0,206,0,10519.6608,0,0,0,0,0,96,1128,0,866.7264,5952,192,0,72,0,0,12556.8,0,31383.1872,1
"COTTINGHAM, AL",DEMOCRATIC,2012,HOUSE DISTRICT 011,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,571.0944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.0944,1
"COUCH, JOHN L",INDEPENDENT,2014,HOUSE DISTRICT 092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.26,0,262.26,1
"COULTER, LEWIS R (PAPA LOU)",DEMOCRATIC,2010,SENATE DISTRICT 026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,16,0,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765,3736,10401,1
"COUSE, ROBERT",DEMOCRATIC,2010,SENATE DISTRICT 019,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,1393.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,1668.12,1
"COVERSTONE, JERRY",INDEPENDENT WRITEIN,2016,SENATE DISTRICT 028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755.3,0,755.3,1
"COX, CASEY",REPUBLICAN,2014,HOUSE DISTRICT 085,3,33,10,6,0,14,23,37,6,15,3,4,33,0,1,0,5,222,2,417,1607.5,22822,8022.5,2372,0,7906,10643,15136.4368,3758.35,4587,2407.9441,1840,12761,0,1365,0,2370,49926.6108,66.521,147591.8627,2
"COYLE, CHRISTOPHER J",DEMOCRATIC,2014,HOUSE DISTRICT 074,0,0,0,2,0,0,2,0,0,0,12,14,0,0,0,0,0,17,2,49,0,0,0,1674,0,0,930,0,0,0,2054.4351,9858,0,0,0,0,0,10436.9994,2260.7277,27214.1622,1
"CRANE, JOHN",REPUBLICAN,2016,SENATE DISTRICT 024,0,3,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,202,2,213,0,614.25,0,0,0,0,0,45.5,291.2,273,0,0,0,0,0,0,0,79268.007,118.3,80610.257,1
"CRAWFORD, WILLIAM A",DEMOCRATIC,2010,HOUSE DISTRICT 098,1,1,5,3,0,4,8,11,0,22,0,2,16,0,0,0,4,39,0,116,500,100,5000,900,0,3000,4900,6000,0,16200,0,750,10250,0,0,0,2200,19700,0,69500,1
"CRIDER, MICHAEL R (MIKE)",REPUBLICAN,2012,SENATE DISTRICT 028,11,21,18,17,3,37,26,30,10,48,5,13,30,0,6,0,13,163,11,462,3477,33523.9216,11819.4218,8382.5,2047.5,19366.5,8853,12503.4,1318.208,21898,10925.87,5801,8547,0,32640.6619,0,4383,34390.4515,1890.8256,221768.2604,2
"CROSSLEY, DONALD",LIBERTARIAN,2010,SENATE DISTRICT 027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,0,325,0,0,0,0,0,0,0,0,0,0,0,0,584.15,0,0,200,95,1204.15,1
"CROUCH, SUZANNE M",REPUBLICAN,2010,HOUSE DISTRICT 078,2,22,11,34,0,33,48,49,6,69,0,21,33,0,1,0,1,434,7,771,788,2235.81,7620,26576.8,0,10383,20413,19768,2168,27592,0,11300,10404,0,4800,0,288,116990.7548,20378,281705.3648,2
"CRUZ, DAN",DEMOCRATIC,2016,SENATE DISTRICT 008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2093,0,2093,1
"CULVER, WES",REPUBLICAN,2010,HOUSE DISTRICT 049,4,8,6,10,0,11,26,33,0,4,0,3,5,0,0,0,3,38,5,156,1038,3060,2855,6025,0,3785,19757.5,11846,0,1081.5,0,955,1239,0,0,0,800,13726.6096,356.38,66524.9896,4
"CUNNINGHAM, JOHN",REPUBLICAN,2012,HOUSE DISTRICT 043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,110.4,1550.4,1
"DALLAS, REID",REPUBLICAN,2012,SENATE DISTRICT 040,0,8,1,0,0,0,1,2,2,0,0,0,0,0,3,0,0,107,0,124,0,12048,240,0,0,0,240,192,96,0,0,0,0,0,21735.744,0,0,30498.5472,0,65050.2912,1
"DAVIS, BILL J",REPUBLICAN,2010,HOUSE DISTRICT 033,13,24,12,23,0,41,23,48,1,18,3,5,18,0,5,0,15,305,20,574,9770.4,4770.98,8196,16628,0,15460,12018,22770,33.6,7884,33800,1220,5786,0,21952.04,0,10366,58163.2368,439.42,229257.6768,2
"DAVIS, RYAN SCOTT",DEMOCRATIC,2016,HOUSE DISTRICT 032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.5198,0,629.5198,1
"DAVIS, TAMMI",DEMOCRATIC,2016,HOUSE DISTRICT 002,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,31,5,40,0,136.5,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,6689.865,3530.0993,10720.4643,1
"DAVISSON, STEVEN",REPUBLICAN,2010,HOUSE DISTRICT 073,5,24,10,1,0,12,9,41,0,71,6,3,15,0,21,0,1,136,9,364,2664.5,87152.83,3439.5,697.5,0,3539,2214.5,27564.5,0,29111.5,74135.31,759,4879.5,0,253412.6864,0,455,31600.51,4462.8982,526088.7346,4
"DAY, D TODD",DEMOCRATIC,2012,HOUSE DISTRICT 057,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,8,0,144,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,2400,432,3216,1
"DAY, JOHN J",DEMOCRATIC,2010,HOUSE DISTRICT 100,0,0,1,0,0,0,0,1,1,3,1,4,0,0,0,0,0,8,2,21,0,0,250,0,0,0,0,500,200,800,500,825,0,0,0,0,0,1525,3873,8473,1
"DEIG, BOB",DEMOCRATIC,2010,HOUSE DISTRICT 076,2,11,5,4,0,12,6,6,2,3,0,37,8,0,14,0,2,69,2,183,2500,5250,3500,800,0,4550,1800,2500,300,450,0,37700,3200,0,32209.93,0,550,14580.98,950.31,110841.22,1
"DELANEY, EDWARD O",DEMOCRATIC,2010,HOUSE DISTRICT 086,2,23,22,15,0,32,55,40,13,43,14,49,175,0,9,0,14,433,0,939,490,3492.3974,14792.3765,7554,0,21782,23944.0186,13107.418,2000.75,17324,9850.8883,22185.5,78169.6296,0,12393.66,0,5197,104245.3317,0,336528.9701,4
"DELANEY, TIM",DEMOCRATIC,2012,SENATE DISTRICT 030,0,20,4,3,0,2,20,6,10,2,30,38,57,0,29,0,0,178,4,403,0,46268.0256,3840,1440,0,3360,25536,12153.2928,16608,6720,11655.7728,71232,25138.272,0,211255.2096,0,0,45639.9456,4222.3968,485068.9152,1
"DELPH, MICHAEL",REPUBLICAN,2010,SENATE DISTRICT 029,7,13,19,28,0,13,62,61,3,17,4,9,28,0,10,0,11,233,11,529,27239.75,12247.25,9583,23931.5,0,3273,43113,89364.3776,2525,43276,2627.5,5310,10134.5,0,75472.2476,0,5274,136081.9028,320.8,489773.828,2
"DEMBOWSKI, NANCY",DEMOCRATIC,2010,HOUSE DISTRICT 017,0,5,4,2,0,2,7,8,0,5,0,27,6,0,29,0,3,52,2,152,0,7000,1700,500,0,600,11350,2000,0,1050,0,75550,2800,0,254694.17,0,1500,10103,1913,370760.17,1
"DERMODY, THOMAS",REPUBLICAN,2010,HOUSE DISTRICT 020,7,12,15,7,0,45,36,67,5,18,4,44,35,0,6,0,3,567,1,872,2700.5,3796.99,10892,3821.5,0,18964.5,25965,34876,2053.5,5617,2595.2,24297,12917,0,16164.134,0,980,154461.7802,24,320126.1042,3
"DERR, KEVIN",DEMOCRATIC,2012,HOUSE DISTRICT 075,0,2,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,36,2,54,0,264,0,0,0,0,0,0,0,0,0,3984,0,0,8024.928,0,0,5316,3905.28,21494.208,1
"DESSAUER, DAVID",REPUBLICAN,2010,HOUSE DISTRICT 096,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,16,3,25,0,0,0,0,0,0,250,0,0,200,500,0,640,0,0,0,0,6114.27,4720.14,12424.41,1
"DEVON, DALE R",REPUBLICAN,2012,HOUSE DISTRICT 005,2,5,12,25,0,20,17,24,0,10,7,2,10,0,12,0,0,150,2,298,528,1624.84,7770,22436.984,0,10138.5,8792,25379.5,0,3257,51745,364,3081.5,0,119162.9472,0,0,36524.5564,168,290972.8276,3
"DILTS, EDWARD A",LIBERTARIAN,2010,HOUSE DISTRICT 059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.68,0,236.68,1
"DOBIS, CHESTER F",DEMOCRATIC,2010,HOUSE DISTRICT 013,0,6,3,14,0,15,14,12,0,6,0,16,11,0,0,0,1,32,0,130,0,1000,2800,10800,0,9600,8900,3900,0,2250,0,15950,2900,0,0,0,1000,9575,0,68675,1
"DODGE, RICHARD A (DICK)",REPUBLICAN,2010,HOUSE DISTRICT 051,2,8,3,5,0,8,4,12,1,25,2,1,3,0,8,0,0,95,28,205,1000,3678.62,1300,1600,0,2250,1100,29688.5,500,8350,50000,250,550,0,118169.65,0,0,21941.51,1140,241518.28,1
"DOMINGUEZ, JULI",DEMOCRATIC,2016,SENATE DISTRICT 016,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,135.9995,0,0,0,0,0,0,191.1,200.2,527.2995,1
"DORIOT, BLAKE",REPUBLICAN,2016,SENATE DISTRICT 012,2,2,4,4,0,4,3,7,0,1,2,0,1,0,2,0,1,54,2,89,1365,23205,3776.5,2047.5,0,1820,1638,12558.2639,0,273,5915,0,910,0,18835.362,0,455,52162.838,1456,126417.4639,1
"DOWNS, TIMOTHY E",DEMOCRATIC,2010,HOUSE DISTRICT 015,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,20,0,1400,0,0,0,0,0,0,0,0,0,6300,0,0,0,0,0,4275,0,11975,1
"DOZIER, LEVON M",REPUBLICAN,2012,HOUSE DISTRICT 077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1056,1
"DRISKELL, DEBBIE",REPUBLICAN,2012,HOUSE DISTRICT 037,1,2,0,0,0,0,4,0,3,0,0,14,2,0,0,0,0,17,25,68,960,4800,0,0,0,0,2866.9824,0,1920,0,0,64943.04,432,0,0,0,0,5625.1104,2214.144,83761.2768,1
"DUDECK, GREGORY A",REPUBLICAN,2010,HOUSE DISTRICT 007,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,3,22,0,1416.32,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,8300.89,7274,17791.21,1
"DUENSING, JEFF",LIBERTARIAN,2010,HOUSE DISTRICT 019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,1
"DUNNAGAN, ALLEN (BIG AL)",DEMOCRATIC,2010,HOUSE DISTRICT 022,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,500,0,0,0,500,0,0,0,0,0,0,0,1000,1
"DVORAK, RYAN MICHAEL",DEMOCRATIC,2010,HOUSE DISTRICT 008,0,18,1,5,0,6,6,10,5,8,1,39,27,0,2,0,3,145,7,283,0,17456.1376,500,1190,0,2134,1413,3990,1147.5,2224.5,136.5,34793,17861.5,0,75320.9152,0,700,27424.06,1305.8,187596.9128,4
"EASTES, CURTIS L",REPUBLICAN,2010,HOUSE DISTRICT 081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,70,1020,1
"EBERHART, SEAN R",REPUBLICAN,2010,HOUSE DISTRICT 057,16,7,18,15,0,58,39,76,0,25,9,9,53,0,0,0,4,78,4,411,7093,3168,14119,9372.5,0,26654,26404,32833.0554,0,7424,6380,2595,43946.9,0,0,0,1268,38117.09,2324.68,221699.2254,4
"ECKERT, CONNIE",REPUBLICAN,2016,HOUSE DISTRICT 087,1,6,0,3,0,1,9,6,1,0,0,0,4,0,1,0,0,243,0,275,227.5,1958.4019,0,2957.5,0,227.5,2138.5,7580.3,910,0,0,0,864.5,0,6142.5,0,0,54927.6,0,77934.3019,1
"ECKERTY, DOUG",REPUBLICAN,2010,SENATE DISTRICT 026,4,1,7,13,0,24,52,20,0,12,3,4,12,0,13,0,2,129,47,343,1302,1000,4371,9036.5,0,10167.96,26845,9009.5,0,3987.5,3720,1302,3580.5,0,151697.52,0,744,74177.55,11718.26,312659.29,2
"ELLERT, FRANCIS K",REPUBLICAN,2010,HOUSE DISTRICT 017,3,13,0,6,0,0,12,44,46,12,2,0,9,0,12,0,0,396,1,556,576,6658.09,0,1796,0,0,3450,94141.776,6420,2300,20200,0,1582,0,41675.082,0,0,79745.18,993.0336,259537.1616,2
"ELLINGTON, JEFF",REPUBLICAN,2016,HOUSE DISTRICT 062,2,11,2,3,0,4,1,9,1,2,2,4,2,0,1,0,0,56,2,102,1365,34543.0358,682.5,2275,0,1274,273,15037.75,91,546,1820,2821,682.5,0,8209.11,0,0,23076.6809,595.1491,93291.7258,1
"ELLIOT, DANIEL",REPUBLICAN,2012,HOUSE DISTRICT 060,0,5,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,18,1,33,0,8496,0,0,0,0,240,2509.2864,624,0,0,0,0,0,0,0,0,19618.992,718.08,32206.3584,1
"ELLIS, KAL",DEMOCRATIC,2010,HOUSE DISTRICT 046,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,24,67,0,17000,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,21921.3,7484.02,47105.32,1
"ELLISON, B JEFF",DEMOCRATIC,2010,SENATE DISTRICT 026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1149.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,1539.7,1
"ELLISON, ZACK",DEMOCRATIC,2014,HOUSE DISTRICT 059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23432.2428,6525.7356,29957.9784,1
"ELLSPERMANN, SUE",REPUBLICAN,2010,HOUSE DISTRICT 074,2,28,4,4,0,5,10,21,2,8,3,2,3,0,9,0,1,229,85,416,1632,33491.04,1897.372,3600,0,2640,6972,15005,576,1736,1800,392,990,0,26229.95,0,288,126950.53,3849,228048.892,2
"EMBRY, JEFF",INDEPENDENT WRITEIN,2016,HOUSE DISTRICT 054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,182,1
"ENGLEMAN, KAREN",REPUBLICAN,2016,HOUSE DISTRICT 070,1,1,1,0,0,1,1,3,2,0,0,0,1,0,2,0,1,19,4,37,455,227.5,455,0,0,273,455,1592.5,273,0,0,0,455,0,37333.66,0,273,8355.4107,3037.58,53185.6507,1
"ENNIS, ANN",REPUBLICAN,2016,HOUSE DISTRICT 064,0,2,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,14,2,25,0,19292,0,0,0,182,0,0,0,0,0,14605.5,0,0,0,0,0,7949.76,4850.3,46879.56,1
"ERRINGTON, SUE E",DEMOCRATIC,2010,SENATE DISTRICT 026,4,68,16,3,0,11,10,32,176,72,56,41,46,0,13,0,6,841,22,1417,1069.4,7212.4214,8600,796,0,3905.5,3581,10376.1408,25475.9225,27007,10762.7395,19671.5,13025.5,0,51696.92,0,3520,95628.6369,44726.721,327055.4021,4
"ERVIN, MARK",REPUBLICAN,2012,HOUSE DISTRICT 056,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,1,18,0,4170.5184,0,0,0,0,0,0,364.8,0,0,0,0,0,0,0,0,331.2,160.32,5026.8384,1
"ESPICH, JEFFREY KELLER",REPUBLICAN,2010,HOUSE DISTRICT 082,0,2,9,11,0,24,19,29,1,27,2,2,22,0,0,0,11,27,0,186,0,5500,5600,12000,0,13600,18100,19800,1000,24800,5500,900,12350,0,0,0,8600,7877.5,0,135627.5,1
"EVANS, SHANE",DEMOCRATIC,2012,HOUSE DISTRICT 025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,6,0,0,0,0,0,0,0,0,144,0,0,0,0,0,384,0,0,480,825.6,1833.6,1
"FANELLO, CATHERINE",DEMOCRATIC,2010,SENATE DISTRICT 011,0,28,0,5,0,0,3,0,1,0,3,19,14,0,21,0,0,113,14,221,0,12727.4,0,1100,0,0,1450,0,100,0,552.28,34350,2075,0,161004.86,0,0,26158.53,2094,241612.07,1
"FEENEY-RUIZ, A J",REPUBLICAN,2012,HOUSE DISTRICT 097,0,6,1,1,0,0,3,3,3,3,3,1,5,0,4,0,0,38,109,180,0,2739.84,240,240,0,0,1440,1440,2496,6720,17760,192,3395.2032,0,28423.728,0,0,12202.224,7709.76,84998.7552,1
"FERGUSON, BRANDON LEE",DEMOCRATIC,2016,HOUSE DISTRICT 077,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,0,0,0,0,14105,0,0,0,0,0,1238.51,136.5,15480.01,1
"FERNANDEZ, JORGE",DEMOCRATIC,2016,HOUSE DISTRICT 050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2780.2593,273,3053.2593,1
"FETTIG, GREG",REPUBLICAN,2016,HOUSE DISTRICT 024,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,17,0,25,0,142.3149,0,0,0,0,91,0,22.75,0,0,0,0,0,0,0,0,6080.1832,0,6336.2481,1
"FIDLER, KIMBERLY ANNE",DEMOCRATIC,2016,HOUSE DISTRICT 044,0,2,0,0,0,0,0,0,3,1,3,11,0,0,1,0,0,87,0,108,0,136.5,0,0,0,0,0,0,271.18,910,109.2455,7871.5,0,0,409.5,0,0,7600.32,0,17308.2455,1
"FIELDS, SHAWN B",REPUBLICAN,2010,HOUSE DISTRICT 067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,0,1240,1
"FINE, WILLIAM I (BILL)",REPUBLICAN,2012,HOUSE DISTRICT 012,0,17,3,2,0,4,5,8,2,6,2,1,8,0,29,0,0,117,9,213,0,7147.9403,1183,1183,0,1820,1638,2337.6808,144,1940,5710,455,3900.8434,0,369315.4868,0,0,51123.4862,12344.8647,460243.3022,3
"FISH, DWIGHT",DEMOCRATIC,2010,HOUSE DISTRICT 021,0,2,1,0,0,0,0,1,0,0,0,16,1,0,3,0,0,83,0,107,0,7515.02,50,0,0,0,0,500,0,0,0,10052.6,24.01,0,3330,0,0,31914.45,0,53386.08,1
"FISH, PAMELA MISHLER",DEMOCRATIC,2016,HOUSE DISTRICT 004,0,7,0,0,0,0,0,1,2,0,0,19,0,0,2,0,0,113,3,147,0,1774.5,0,0,0,0,0,9100,91,0,0,20315.75,0,0,40950,0,0,19305.8047,3246.698,94783.7527,1
"FLEMING, DAN",DEMOCRATIC,2010,HOUSE DISTRICT 059,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,30,1,36,0,0,0,0,0,0,1000,0,0,0,0,1770,0,0,555,0,0,3460,125,6910,1
"FOLEY, RALPH M",REPUBLICAN,2010,HOUSE DISTRICT 047,1,0,2,3,0,11,7,1,0,5,0,0,3,0,0,0,3,18,2,56,1000,0,1000,1050,0,2700,2250,100,0,2000,0,0,2000,0,0,0,900,5550,100,18650,1
"FOLLIS II, JOHN E (SAM)",DEMOCRATIC,2012,HOUSE DISTRICT 040,0,3,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,11,0,24,0,171.4464,0,0,0,0,0,0,0,0,0,23480.6496,0,0,72,0,0,2073.6,0,25797.696,1
"FORD, J D",DEMOCRATIC,2014,SENATE DISTRICT 029,1,6,2,0,0,0,9,6,5,1,41,30,6,0,26,0,0,77,3,213,465,976.5,1023,0,0,0,3171.3,11020.5,1302,232.5,15591.822,38421.4806,1348.5,0,66859.3461,0,0,32444.7147,3223.3521,176080.0155,1
"FORD, JON",REPUBLICAN,2014,SENATE DISTRICT 038,0,4,0,2,0,4,3,9,0,1,0,0,2,0,7,0,0,96,1,129,0,9765,0,325.5,0,3348,651,5040.3024,0,93,0,0,186,0,134790.573,0,0,27899.07,950.46,183048.9054,1
"FORESTAL, DAN",DEMOCRATIC,2012,HOUSE DISTRICT 100,2,32,11,13,3,18,19,26,53,22,4,68,66,0,0,0,20,200,2,559,551,10780.1528,5980.8281,3537.5,2517.5,5800,7550,6848.7041,5098.734,5577.7,350.2848,38809.5,17107.7,0,0,0,7009.1063,25791.7151,302.3904,143612.8156,3
"FRANKE, NANCY L",REPUBLICAN,2016,HOUSE DISTRICT 069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,2,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6632.9445,129.6659,6762.6104,1
"FRANKLIN, JACOB",REPUBLICAN,2016,HOUSE DISTRICT 065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228.5,317.59,1546.09,1
"FREEMAN, AARON",REPUBLICAN,2016,SENATE DISTRICT 032,0,7,1,3,0,1,8,16,0,6,2,3,9,0,14,0,2,81,45,198,0,43285.2511,455,6825,0,910,4322.5,34760.2437,0,4641,31850,1365,5387.837,0,178892.4137,0,728,99944.5902,4699.9134,418066.7491,1
