name,party_name,year,district,ag_count,candidate_count,comm_count,construct_count,defense_count,energy_count,finance_count,general_count,government_count,health_count,ideology_count,labor_count,law_count,non_count,partyfund_count,public_count,transportation_count,uncoded_count,unitem_count,total_count,ag,candidate,comm,construct,defense,energy,finance,general,government,health,ideology,labor,law,non,partyfund,public,transportation,uncoded,unitem,total,year_count
"AYLESWORTH, MICHEAL (MIKE)",REPUBLICAN,2014,HOUSE DISTRICT 011,4,2,3,1,0,11,5,11,1,2,2,2,4,0,12,0,0,134,0,194,1098,1162.5,1375,910,0,3371,2047.5,6914.6907,116.25,546,13850,364,1141.5,0,141705.3859,0,0,28027.607,0,202629.4336,2
"BACON, RONALD",REPUBLICAN,2010,HOUSE DISTRICT 075,8,83,14,16,0,45,39,38,0,96,4,102,22,0,8,0,0,468,486,1429,3495,107401.72,5221.5,4992.4,0,12428.07,11436.4,36419.76,0,37210.1776,19916,42358.7,7537.8,0,27812.45,0,0,85240.8642,18401.8715,419872.7133,4
"BAILEY, GLENN E",DEMOCRATIC,2010,HOUSE DISTRICT 055,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,7,418,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,486.88,1335.015,2332.895,2
"BAILEY, KEVIN SUE",DEMOCRATIC,2014,HOUSE DISTRICT 072,0,0,0,0,0,0,1,1,1,0,0,10,2,0,0,0,0,134,3,152,0,0,0,0,0,0,279,93,186,0,0,6696,186,0,0,0,0,11126.52,848.16,19414.68,1
"BAIRD, JAMES (JIM)",REPUBLICAN,2010,HOUSE DISTRICT 044,11,17,10,6,0,20,21,39,1,17,5,4,15,0,12,0,6,65,4,253,3249,158872.3,4690.5,5317.5,0,6422,8875,52483.14,500,4521.5,81674.84,1487,5037,0,78184.13,0,2775,19209.7,6873.17,440171.78,4
"BALL, JIM",DEMOCRATIC,2012,SENATE DISTRICT 012,0,0,0,0,0,0,0,0,0,0,9,36,1,0,0,0,0,47,1,94,0,0,0,0,0,0,0,0,0,0,2236.9536,19056,144,0,0,0,0,5198.4,1767.36,28402.7136,1
"BANKS, JAMES E (JIM)",REPUBLICAN,2010,SENATE DISTRICT 017,7,30,18,14,1,27,27,63,6,18,7,10,35,0,0,0,13,242,24,542,3575,20098.34,10440,7518.88,465,9926.46,11376.19,28397.75,2060,6144.25,9435,3012.15,14210.5,0,0,0,4159.5,62381.9708,14946.3,208147.2908,2
"BANTER JR, TIMOTHY J",DEMOCRATIC,2010,HOUSE DISTRICT 024,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,16,3,25,0,0,0,0,0,0,0,0,0,0,0,2300,0,0,455,0,0,20758.33,614.5,24127.83,1
"BARDON, JEB",DEMOCRATIC,2010,HOUSE DISTRICT 025,1,0,0,0,0,0,11,3,0,3,0,1,2,0,1,0,2,3,0,27,300,0,0,0,0,0,6500,1600,0,7500,0,250,1500,0,250,0,500,2200,0,20600,1
"BARKER, LARRY D",DEMOCRATIC,2012,HOUSE DISTRICT 046,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,5101.2768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5197.2768,1
"BARNES, JAMES V",DEMOCRATIC,2016,HOUSE DISTRICT 048,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,12,0,12512.5,0,0,0,0,0,0,0,0,0,910,0,0,0,0,0,650.65,0,14073.15,1
"BARNES, JOHN",DEMOCRATIC,2010,HOUSE DISTRICT 089,0,23,4,3,0,1,25,8,21,7,26,43,22,0,26,0,2,199,5,415,0,3741.4852,2000,1192,0,300,9181.4496,1190.6032,5003.97,6000,8123.3352,87677.4,7349.7024,0,115085.5144,0,500,22579.04,2180.3904,272104.8904,2
"BARRANDA, MICHAEL",REPUBLICAN,2014,HOUSE DISTRICT 084,0,4,0,1,0,0,4,2,1,4,0,0,3,0,0,0,0,215,6,240,0,3813,0,930,0,0,465,325.5,93,3208.5,0,0,372,0,0,0,0,39962.379,1817.22,50986.599,1
"BARTLETT, JOHN L",DEMOCRATIC,2010,HOUSE DISTRICT 095,2,2,8,7,0,2,5,20,3,8,0,34,31,0,0,0,2,166,18,308,594.5,144,5200,1031,0,546,1797,9124.568,220.1,3220,0,16694.5,8767,0,0,0,935,23318.2893,6077.79,77669.7473,4
"BASSLER, ERIC S",REPUBLICAN,2014,SENATE DISTRICT 039,0,6,0,1,0,8,0,22,0,0,4,1,6,0,8,0,0,170,96,322,0,26505,0,2325,0,4045.5,0,60408.3825,0,0,5580,604.5,1720.5,0,53554.7475,0,0,109983.009,6841.6566,271568.2956,1
"BATTLES, KREG",DEMOCRATIC,2010,HOUSE DISTRICT 064,4,22,21,4,0,47,18,14,3,13,1,83,26,0,10,0,4,134,2,406,2212.5,56875.52,12509,1176,0,27141,5277,8734,384,4171,155.31,113630,10578.5,0,22879.9668,0,900,23676.6108,579.24,290879.6476,3
"BAUER, B PATRICK",DEMOCRATIC,2010,HOUSE DISTRICT 006,10,27,24,15,0,53,59,108,5,93,6,86,95,0,3,0,24,235,7,850,5602,124104,38469,13217.5,0,73899,82649.5,127566.5,1810,108529,7248.9472,206208.5,137664.5,0,10250,0,51978,127901.0728,3298.966,1120396.486,4
"BEALS, DUANE",REPUBLICAN,2010,HOUSE DISTRICT 006,0,1,1,0,0,0,1,1,0,7,0,0,0,0,5,0,1,75,2,94,0,966,200,0,0,0,100,100,0,1900,0,0,0,0,1100,0,2000,16529.9,11683.79,34579.69,1
