chamb,thirdparty,republican,democratic,election_year,candidate,cumulative
0,0,1,0,2008,"BROWN, TIMOTHY N (TIM)",8
0,0,1,0,2010,"BROWN, TIMOTHY N (TIM)",9
0,0,1,0,2012,"BROWN, TIMOTHY N (TIM)",10
0,0,1,0,2014,"BROWN, TIMOTHY N (TIM)",11
0,0,1,0,2000,"BUCK, JAMES R (JIM)",4
0,0,1,0,2002,"BUCK, JAMES R (JIM)",5
0,0,1,0,2004,"BUCK, JAMES R (JIM)",6
0,0,1,0,2006,"BUCK, JAMES R (JIM)",7
0,0,1,0,2000,"BUDAK, MARY KAY",11
0,0,1,0,2002,"BUDAK, MARY KAY",12
0,0,1,0,2004,"BUDAK, MARY KAY",13
0,0,1,0,2000,"BUELL, LAWRENCE L (LARRY)",4
0,0,1,0,2002,"BUELL, LAWRENCE L (LARRY)",5
0,0,1,0,2004,"BUELL, LAWRENCE L (LARRY)",6
0,0,1,0,2006,"BUELL, LAWRENCE L (LARRY)",7
0,0,1,0,2000,"BURTON, CHARLES (WOODY)",6
0,0,1,0,2002,"BURTON, CHARLES (WOODY)",7
0,0,1,0,2004,"BURTON, CHARLES (WOODY)",8
0,0,1,0,2006,"BURTON, CHARLES (WOODY)",9
0,0,1,0,2008,"BURTON, CHARLES (WOODY)",10
0,0,1,0,2010,"BURTON, CHARLES (WOODY)",11
0,0,1,0,2012,"BURTON, CHARLES (WOODY)",12
0,0,1,0,2014,"BURTON, CHARLES (WOODY)",13
0,0,1,0,2012,"CARBAUGH, MARTIN",1
0,0,1,0,2014,"CARBAUGH, MARTIN",2
0,0,0,1,2006,"CHEATHAM, DAVID",1
0,0,0,1,2008,"CHEATHAM, DAVID",2
0,0,0,1,2010,"CHEATHAM, DAVID",3
0,0,0,1,2000,"CHENEY, DUANE",2
0,0,0,1,2002,"CHENEY, DUANE",3
0,0,0,1,2004,"CHENEY, DUANE",4
0,0,0,1,2006,"CHENEY, DUANE",5
0,0,1,0,2000,"CHERRY, ROBERT W (BOB)",2
0,0,1,0,2002,"CHERRY, ROBERT W (BOB)",3
0,0,1,0,2004,"CHERRY, ROBERT W (BOB)",4
0,0,1,0,2006,"CHERRY, ROBERT W (BOB)",5
0,0,1,0,2008,"CHERRY, ROBERT W (BOB)",6
0,0,1,0,2010,"CHERRY, ROBERT W (BOB)",7
0,0,1,0,2012,"CHERRY, ROBERT W (BOB)",8
0,0,1,0,2014,"CHERRY, ROBERT W (BOB)",9
0,0,0,1,2002,"CHOWNING, ALAN B",1
0,0,1,0,2008,"CLEMENTS, JACQUELINE R (JACQUE)",1
0,0,1,0,2008,"CLERE, EDWARD D (ED)",1
0,0,1,0,2010,"CLERE, EDWARD D (ED)",2
0,0,1,0,2012,"CLERE, EDWARD D (ED)",3
0,0,1,0,2014,"CLERE, EDWARD D (ED)",4
0,0,0,1,2000,"COCHRAN, WILLIAM CHARLES (BILL)",14
0,0,0,1,2002,"COCHRAN, WILLIAM CHARLES (BILL)",15
0,0,0,1,2004,"COCHRAN, WILLIAM CHARLES (BILL)",16
0,0,0,1,2006,"COCHRAN, WILLIAM CHARLES (BILL)",17
0,0,0,1,2000,"COOK, GARY L",6
