bill_number,bill_id,title
LB778,150313,"Adopt the Umbilical Cord Blood Information Act"
LB779,150314,"Change municipal budgeting and facility financing assistance provisions and adopt the Sports Arena Facility Financing Assistance Act "
LB780,150315,"Change Nebraska Workers' Compensation Act provisions relating to personal injuries"
LB781,150316,"Change provisions relating to urban growth districts"
LB782,150317,"Change provisions relating to the issuance of distinctive license plates for governmental units"
LB783,150318,"Change restrictions on sales of alcohol near a college or university"
LB784,150319,"Change admission provisions relating to law enforcement training"
LB785,150320,"Provide an exception to required approval for certain water transfers"
LB786,150321,"Eliminate the prohibition on adding alcohol to beer"
LB787,150322,"Provide for an additional member to serve on the Nebraska Information Technology Commission"
LB788,150323,"Change provisions relating to managers under the Nebraska Liquor Control Act"
LB789,150324,"Change grant limits under the Local Civic, Cultural, and Convention Center Financing Act"
LB790,150325,"Require a report relating to employed recipients of benefits under the medical assistance program"
LB791,150326,"Provide for the electronic filing of certain documents with the Secretary of State"
LB792,150327,"Change controlled substances schedules"
LB793,150328,"Prohibit cash fund transfers without authorization"
LB795,150329,"Authorize employment of law enforcement officers by natural resources districts as prescribed"
LB796,150330,"Impose a fuel tax for use to complete the state expressway system"
LB797,150331,"Change duties of the Nebraska Power Review Board"
LB798,150332,"Extend the termination date of the Nebraska Litter Reduction and Recycling Act"
LB799,150333,"Change state and local building code provisions"
LB800,150334,"Provide and change methods of early intervention for children at risk and penalties for drug offenses by minors"
LB801,150335,"Change the Uniform Deceptive Trade Practices Act"
LB802,150336,"Change revenue and taxation provisions to redefine contractor or repairperson and gross receipts to exclude sod as prescribed"
LB803,150337,"Exclude licensed physical therapists from the Chiropractic Practice Act"
LB804,150338,"Provide an exemption from the documentary stamp tax"
LB805,150339,"Adopt updates to federal motor vehicle laws and regulations and change motor vehicle and common carrier licensing and operation provisions"
LB806,150340,"Change provisions relating to agricultural or horticultural land valuation"
LB807,150341,"Require automobile liability policies to be issued for a minimum term"
LB808,150342,"Change commercial motor vehicle and commercial driver's license provisions"
LB809,150343,"Change statute of limitations for fraud involving certain assistance programs"
LB810,150344,"Change provisions relating to undercover license plates and drivers' licenses"
LB811,150345,"Change appeal procedures relating to the Public Service Commission"
LB812,150346,"Change notice and hearing requirements for complaints under the Uniform Credentialing Act"
LB813,150347,"Prohibit prepaid dental service plans from limiting fees for certain services"
LB814,150348,"Change provisions relating to transactions exempt from securities registration"
LB815,150349,"Change requirements for political subdivision budget statements and financial information on the state web site"
LB816,150350,"Change motor vehicle industry regulation provisions"
LB817,150351,"Authorize contracting for law enforcement by natural resources districts, change provisions relating to handguns and firearms, and require the Nebraska State Patrol to provide notice to permitholders"
LB818,150352,"Change the Real Property Appraiser Act "
LB819,150353,"Change traffic control signal and speed limit provisions"
LB820,150354,"Change provisions relating to height restrictions for vehicles and operating permits for certain emergency vehicles"
LB821,150355,"Change provisions relating to road priorities"
LB822,150356,"Change provisions relating to construction liens"
LB823,150357,"Provide for appointment of county assessors"
LB824,150358,"Change provisions relating to master jury lists"
LB825,150359,"Provide for parimutuel wagering on horseraces at satellite wagering facilities"
LB826,150360,"Adopt the County Consolidation Act"
LB827,150361,"Provide requirements for prescription training for renewal of certain health practitioner licenses"
LB828,150362,"Change requirements for medical radiographers and limited radiographers"
LB829,150363,"Change certain notice requirements under the Nebraska Workers' Compensation Act"
LB830,150364,"Limit small tourism business liability and adopt the Tourism Insurance Act"
LB831,150365,"Change Motor Vehicle Operator's License Act provisions relating to school permits"
LB832,150366,"Eliminate a private insurance requirement relating to petroleum release remedial action"
LB833,150367,"Provide for confidentiality of Nebraska Workers' Compensation Court records"
LB834,150368,"Change provisions and penalties relating to liquor licenses"
LB835,150369,"Change reporting provisions of the Nebraska Hospital-Medical Liability Act"
LB836,150370,"Provide for the extension of existing deer hunting seasons and the destruction of mountain lions and other predators"
LB837,150371,"Provide for entry of default orders by the Tax Equalization and Review Commission"
LB838,150372,"Require certain provisions in highway and bridge contracts and require contractor-identifying signage"
LB839,150373,"Eliminate a period of invalidity of rules and regulations as prescribed"
LB840,150374,"Change provisions relating to criminal attempt"
LB841,150375,"Amend the Motor Vehicle Operator's License Act to allow release of digital images or signatures to local law enforcement "
LB842,150376,"Change procedures in cases of death during apprehension by law enforcement officers or while in custody"
LB843,150377,"Change provisions relating to arson"
LB844,150378,"Change provisions relating to Nebraska Law Enforcement Training Center tuition, fees, and expenses"
LB845,150379,"Require energy conservation by state agencies"
LB846,150380,"Change interest rate provisions for certain Nebraska Workers' Compensation Court awards"
LB848,150381,"Change provisions relating to board of equalization meetings for cities of the first class"
LB849,150382,"Change provisions relating to the health and human services"
LB850,150383,"Require public postsecondary educational institutions to provide information on early voting to students"
LB851,150384,"Change the Convention Center Facility Financing Assistance Act and the Local Civic, Cultural, and Convention Center Financing Act"
LB852,150385,"Provide for write-in space on official ballots for certain offices"
LB853,150386,"Change criminal law statutes to reflect Nebraska Supreme Court opinion State v. Conover, 270 Neb. 446; 703 N.W.2d 898 (2005)"
LB854,150387,"Change requirements for licensure under the Nebraska Liquor Control Act"
LB855,150388,"Adopt the Remote Pharmacy Act"
LB856,150389,"Provide for requirements for memorials in the highway right-of-way"
LB857,150390,"Change fee provisions relating to modular housing units, manufactured homes, and recreational vehicles"
LB858,150391,"Change provisions relating to service animals and mobility-impaired or otherwise disabled persons"
LB859,150392,"Change provisions relating to trial by jury"
LB860,150393,"Change concealed handgun permit application provisions relating to misdemeanor crimes of violence"
LB861,150394,"Change provisions relating to the State Racing Commission, the Nebraska Liquor Control Act, and the Nebraska Liquor Control Commission"
LB862,150395,"Change provisions relating to the regulation of water"
LB863,150396,"Change annexation procedures affecting certain cities of the first class and sanitary and improvement districts"
LB864,150397,"Provide, change, and eliminate duties for the Community Corrections Council"
LB865,150398,"Adopt the Livestock Animal Welfare Act"
LB866,150399,"Provide for a dispensing practitioner permit and change other provisions relating to pharmacy"
LB867,150400,"Change shipping license fees for alcohol"
LB868,150401,"Change probation administrative sanctions, community service sentencing, and minors with alcohol-related criminal provisions and exempt community service offenders and probationers from workers' compensation coverage"
LB869,150402,"Provide for and change fees relating to licensure under the Nebraska Liquor Control Act"
LB870,150403,"Provide for a temporary operating permit under the Nebraska Liquor Control Act"
LB871,150404,"Change provisions relating to persons accompanying apprentice hunters"
LB872,150405,"Change applicability of a medical fee schedule relating to workers' compensation"
LB873,150406,"Require notice of certain property taxes owed and eliminate a notification requirement for certain delinquent property taxes"
LB874,150407,"Change provisions relating to probation office expenses"
LB875,150408,"Provide for voter registration on the Secretary of State's web site"
LB876,150409,"Change recovery amounts under the Nebraska Hospital-Medical Liability Act"
LB877,150410,"Change property assessment and tax provisions"
LB878,150411,"Change and eliminate tax provisions relating to electronic fund transfers, withholding, and overpayments"
LB879,150412,"Change revenue and taxation provisions"
LB880,150413,"Change provisions relating to fireworks"
LB880A,150414,"Appropriation Bill"
LB881,150415,"Change and eliminate provisions relating to fireworks"
LB882,150416,"Change provisions relating to disposal of dead animals"
LB883,150417,"Provide for offsite storage facilities and change reporting and payment requirements for farm wineries"
LB884,150418,"Require employers to provide employees with wage and deduction information as prescribed"
LB885,150419,"Transfer the responsibilities of the Nebraska Oil and Gas Conservation Commission and the State Energy Office to the newly created Nebraska Energy Commission"
LB886,150420,"Change and provide penalties for minors purchasing or possessing tobacco"
LB887,150421,"Change provisions for interstate simulcast facility licenses"
LB888,150422,"Adopt the Nebraska Uniform Limited Liability Company Act and change provisions relating to charging orders"
LB889,150423,"Change provisions relating to the justification for the use of force"
LB890,150424,"Change banking and finance provisions"
LB891,150425,"Provide for conditional bank charters"
LB892,150426,"Change provisions relating to federal deposit insurance requirements, residential mortgage licensing, installment loans, and reverse mortgages"
LB894,150427,"Change provisions relating to shoplifting and prohibit possession of any store security device countermeasure"
LB895,150428,"Change procedures for filling vacancies on a natural resources district board"
LB896,150429,"Provide a permit for exceeding weight limits for vehicles transporting livestock"
LB897,150430,"Change income limits for homestead tax exemption purposes"
LB898,150431,"Adopt the Student Expression Act"
LB899,150432,"Change retirement benefit adjustment provisions"
LB900,150433,"Change retail license fees for sales of alcohol"
LB901,150434,"Change child custody determination provisions"
LB902,150435,"Provide for an information form for assisted-living facilities"
LB903,150436,"Require the Department of Health and Human Services to establish criteria to evaluate the adequacy of Alzheimer's special care units"
LB904,150437,"Provide for enhanced assisted-living certificates for certain assisted-living facilities"
LB905,150438,"Change provisions relating to discharge of firearms"
LB906,150439,"Eliminate restrictions on sales of alcohol near certain places"
LB907,150440,"Change provisions relating to homestead property exempt from execution"
LB908,150441,"Change workers' compensation provisions relating to claims for legal services or disbursements"
LB909,150442,"Change provisions relating to division fences"
LB910,150443,"Change the Commercial Dog and Cat Operator Inspection Act"
LB911,150444,"Change a date relating to development of a statewide biotechnology strategic plan"
LB912,150445,"Prohibit occupant recovery limits in uninsured and underinsured motorist coverage"
LB913,150446,"Adopt the Criminal Offender Employment Act"
LB914,150447,"Change a provision relating to the duty to stop after a motor vehicle accident"
LB915,150448,"Provide for use of motor vehicle operator license numbers and state identification card numbers in compiling jury lists"
LB916,150449,"Authorize leases on school lands for solar and wind energy production"
LB917,150450,"Exempt municipal water from sales and use taxes"
LB918,150451,"Redefine certain terms and provide certain tax incentives under the Nebraska Advantage Act"
LB920,150452,"Provide for school transportation safety committees"
LB921,150453,"Provide time limits for payment of claims under the medical assistance program"
LB922,150454,"Change registration renewal provisions relating to medication aides"
LB923,150455,"Change provisions relating to sealing of juvenile criminal justice records"
LB924,150456,"Change provisions relating to ignition interlock orders"
LB925,150457,"Require employment of Nebraska laborers for public works projects during excessive unemployment"
LB926,150458,"Change provisions for information signs along highways"
LB927,150459,"Change employee deposit requirements under the School Employees Retirement Act"
LB928,150460,"Change contribution rates under the Nebraska State Patrol Retirement Act"
LB929,150461,"Require schools to distribute certain information to parents of children with special hearing needs"
LB930,150462,"Change provisions relating to distribution of certain devices under the Pharmacy Practice Act"
LB931,150463,"Change and eliminate provisions of the Real Property Appraiser Act and the Nebraska Real Estate License Act"
LB932,150464,"Change provisions relating to repayment of financial assistance by natural resources districts"
LB933,150465,"Change the Motor Vehicle Certificate of Title Act with respect to manufactured homes and mobile homes"
LB934,150466,"Include Nebraska Wing of the Civil Air Patrol members under the Volunteer Emergency Responders Job Protection Act"
LB936,150467,"Authorize court-ordered conditions for juvenile court dispositions"
LB937,150468,"Terminate per diem payments for members of learning community coordinating councils"
LB938,150469,"Provide for an amendment to the medicaid state plan relating to reimbursement of federally qualified health centers"
LB939,150470,"Change support order enforcement provisions"
LB940,150471,"Amend the Welfare Reform Act to require drug screening for cash assistance benefits"
LB941,150472,"Permit optometrists to dispense cosmetic and medicated contacts as prescribed"
LB942,150473,"Provide for a special shipping permit for alcohol manufacturers"
LB943,150474,"Provide for the merger of civil service commissions under the Civil Service Act"
