bill_number,bill_id,title
HB109,216620,To establish a national commission on presidential war powers and civil liberties.
HB110,216621,Manufacturing Reinvestment Account Act of 2011
HB111,216622,Breast Cancer Patient Protection Act of 2011
HB112,216623,To encourage enhance and integrate Silver Alert plans throughout the United States to authorize grants for the assistance of organizations to find missing adults and for other purposes.
HB113,216624,Angeles and San Bernardino National Forests Protection Act
HB114,216625,Biennial Budgeting and Appropriations Act of 2011
HB115,216626,CHAMPVA Children's Protection Act of 2011
HB116,216627,Robo Calls Off Phones Act
HB117,216628,HELP Veterans Act of 2011
HB118,216629,Stop the Federal Exchanges from Destroying States Act
HB119,216630,Keep Out the IRS Act of 2011
HB120,216631,Disabled Veterans' Surviving Spouses Home Loans Act
HB121,216632,Congressional Budget Accountability Act
HB122,216633,Federal Employee Accountability Act of 2011
HB123,216634,To amend the Internal Revenue Code of 1986 to make certain tax relief permanent and to repeal the estate tax.
HB124,216635,To provide that rates of pay for Members of Congress shall not be adjusted under section 601(a)(2) of the Legislative Reorganization Act of 1946 in the year following any fiscal year in which outlays of the United States exceed receipts of the United States.
HB125,216636,Enumerated Powers Act
HB126,216637,Fairness in Firearm Testing Act
HB127,216638,To deauthorize appropriation of funds to carry out the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010.
HB128,216639,To direct the Secretary of Labor to revise regulations concerning the recording and reporting of occupational injuries and illnesses under the Occupational Safety and Health Act of 1970.
HB129,216640,Labor Relations First Contract Negotiations Act of 2011
HB130,216641,Life Insurance Employee Notification Act
HB131,216642,To amend the Internal Revenue Code of 1986 to provide a 5-year extension for the real property standard deduction and to adjust such deduction for inflation.
HB132,216643,Create Jobs by Expanding the R&D Tax Credit Act of 2011
HB133,216644,Creating Jobs From Innovative Small Businesses Act of 2011
HB134,216645,To amend the Internal Revenue Code to make permanent the credit for increasing research activities.
HB135,216646,To amend the Internal Revenue Code of 1986 to encourage teachers to pursue teaching science technology engineering and math subjects at elementary and secondary schools.
HB136,216647,To amend the Internal Revenue Code of 1986 to allow taxpayers to designate a portion of their income tax payment to provide assistance to homeless veterans and for other purposes.
HB137,216648,Fairness in Political Advertising Act of 2011
HB138,216649,Ethics in Foreign Lobbying Act of 2011
HB139,216650,Udall-Eisenhower Arctic Wilderness Act
HB140,216651,Birthright Citizenship Act of 2011
HB141,216652,To repeal the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010.
HB142,216653,National Strategic Gasoline Reserve for Purposes of National Security Act of 2011
HB143,216654,To amend the Internal Revenue Code of 1986 to repeal the estate tax and retain stepped-up basis at death.
HB144,216655,Small Business Paperwork Mandate Elimination Act of 2011
HB145,216656,Revoke Excessive Policies that Encroach on American Liberties (REPEAL) Act
HB146,216657,War on Debt Act of 2011
HB147,216658,Prescription Drug Affordability Act
HB148,216659,To amend title II of the Social Security Act and the Internal Revenue Code of 1986 to provide prospectively that wages earned and self-employment income derived by individuals who are not citizens or nationals of the United States shall not be credited for coverage under the old-age survivors and disability insurance program under such title and to provide the President with authority to enter into agreements with other nations taking into account such limitation on crediting of wages and self-employment income.
HB149,216660,Social Security Beneficiary Tax Reduction Act
HB150,216661,Senior Citizens Tax Elimination Act
HB151,216662,Seniors' Health Care Freedom Act of 2010
HB152,216663,National Guard Border Enforcement Act
HB153,216664,Ensuring Affordable Energy Act
HB154,216665,Defund the Individual Mandate Act
HB155,216666,Government Reform Act of 2011
HB156,216667,Vietnam Human Rights Sanctions Act
