bill_number,bill_id,title
HB1,415857,"AN ACT relating to appropriations and revenue measures providing financing and conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities."
HB2,415874,"AN ACT relating to fiscal matters and declaring an emergency."
HB3,415891,"AN ACT relating to appropriations providing financing and conditions for the operations, maintenance, support, and functioning of the Transportation Cabinet of the Commonwealth of Kentucky."
HB4,415906,"AN ACT relating to road projects and declaring an emergency."
HB5,415923,"AN ACT relating to unemployment insurance."
HB6,415938,"AN ACT relating to promotional sampling of distilled spirits and wine and declaring an emergency."
HB7,415954,"AN ACT relating to charter schools, making an appropriation therefor, and declaring an emergency."
HCR21,415969,"Adjourn the 2010 Extraordinary Session of the General Assembly sine die."
HCR30,415985,"Adjourn the 2010 Extraordinary Session of the General Assembly sine die."
SB1,416001,"AN ACT relating to appropriations and revenue measures providing financing and conditions for the operations, maintenance, support, and functioning of the government of the Commonwealth of Kentucky and its various officers, cabinets, departments, boards, commissions, institutions, subdivisions, agencies, and other state-supported activities."
SB2,416017,"AN ACT relating to road projects and declaring an emergency."
SB3,416032,"AN ACT relating to appropriations providing financing and conditions for the operations, maintenance, support, and functioning of the Transportation Cabinet of the Commonwealth of Kentucky."
SB4,416050,"AN ACT relating to unemployment insurance."
SB5,416065,"AN ACT relating to promotional sampling of distilled spirits and wine and declaring an emergency."
SB6,416081,"AN ACT relating to general government."
SB7,416097,"AN ACT relating to general government."
SB8,416113,"AN ACT relating to general government."
SJR3,416125,"This Joint Resolution in conjunction with the 2010-2012 Biennial Highway Construction Plan shall constitute the Six Year Road Plan."
