roll_call_id,sponsor_id,vote
401352,6101,1
401352,6142,1
401352,6144,1
401352,6156,1
401352,6157,1
401352,6158,1
401352,6159,1
401352,6161,1
401352,6163,1
401352,6164,1
401352,6167,1
401352,6168,1
401352,6169,1
401352,6173,1
401352,6174,1
401352,6176,1
401352,6177,3
401352,6179,1
401352,6180,1
401352,6181,3
401352,6182,2
401352,6183,3
401352,6184,1
401352,6189,1
401352,6191,1
401352,6193,1
401352,6196,1
401352,6197,1
401352,12357,1
401352,15036,1
401352,15037,1
401352,15038,3
401352,15039,1
401352,15107,3
401352,15109,1
401352,15110,1
401352,15111,1
401352,15112,1
401352,15113,3
401352,15114,1
401352,15115,1
401352,15116,1
414368,6097,1
414368,6100,1
414368,6102,3
414368,6108,1
414368,6110,1
414368,6114,1
414368,6115,1
414368,6117,1
414368,6118,1
414368,6124,1
414368,6125,1
414368,6127,1
414368,6128,1
414368,6129,1
414368,6131,3
414368,6133,1
414368,6134,3
414368,6135,1
414368,6139,1
414368,6141,1
414368,6143,1
414368,6150,2
414368,6151,1
414368,6153,1
414368,6154,2
414368,9511,1
414368,11483,1
414368,11739,1
414368,11740,1
414368,11761,2
414368,11839,1
414368,11840,1
414368,11918,1
414368,11996,1
414368,12045,1
414368,12046,1
414368,12048,1
414368,12054,1
414368,12150,1
414368,12356,2
414368,15014,3
414368,15015,1
414368,15016,1
414368,15017,2
414368,15018,3
414368,15021,1
414368,15023,1
414368,15024,1
414368,15026,1
414368,15027,1
414368,15028,1
414368,15031,1
414368,15032,1
414368,15034,1
414368,17172,1
414368,17342,1
414368,17343,1
414368,17344,1
414368,17345,1
414368,17346,1
414368,17348,1
414368,17350,1
414368,17351,1
414368,17353,1
414368,17354,1
414368,17355,1
414368,17356,1
414368,17357,1
414368,17358,1
401395,6101,2
401395,6142,1
401395,6144,1
401395,6156,2
401395,6157,1
401395,6158,1
401395,6159,1
401395,6161,1
401395,6163,1
401395,6164,1
401395,6167,2
401395,6168,1
401395,6169,2
401395,6173,1
401395,6174,1
401395,6176,1
401395,6177,3
401395,6179,1
401395,6180,2
401395,6181,3
401395,6182,1
401395,6183,1
401395,6184,1
401395,6189,1
401395,6191,1
401395,6193,1
401395,6196,1
401395,6197,1
401395,12357,1
401395,15036,2
401395,15037,2
401395,15038,1
401395,15039,2
401395,15107,2
401395,15109,1
401395,15110,1
401395,15111,2
401395,15112,1
401395,15113,1
401395,15114,2
401395,15115,1
401395,15116,2
414354,6097,1
414354,6100,1
414354,6102,3
414354,6108,1
414354,6110,1
414354,6114,1
414354,6115,1
414354,6117,1
414354,6118,1
414354,6124,1
414354,6125,1
414354,6127,1
414354,6128,1
414354,6129,1
414354,6131,3
414354,6133,1
414354,6134,3
414354,6135,1
414354,6139,1
414354,6141,1
414354,6143,1
414354,6150,1
414354,6151,1
414354,6153,1
414354,6154,1
414354,9511,1
414354,11483,1
414354,11739,1
414354,11740,1
414354,11761,1
414354,11839,1
414354,11840,1
414354,11918,1
414354,11996,1
414354,12045,1
414354,12046,1
414354,12048,1
414354,12054,1
414354,12150,1
414354,12356,1
414354,15014,1
414354,15015,1
414354,15016,1
414354,15017,1
414354,15018,1
414354,15021,1
414354,15023,1
414354,15024,1
414354,15026,1
414354,15027,1
414354,15028,1
414354,15031,1
414354,15032,1
414354,15034,1
414354,17172,1
414354,17342,1
414354,17343,1
414354,17344,1
414354,17345,1
414354,17346,1
414354,17348,1
414354,17350,1
414354,17351,1
414354,17352,1
414354,17353,1
414354,17354,1
414354,17355,1
414354,17356,1
414354,17357,1
414354,17358,1
